cell_id,Zosterops virens,Zosterops virens capensis,Zosterops virens virens
83972dfffffffff,4.0,0.0,0.0
83ad12fffffffff,3.0,1.0,0.0
83ad36fffffffff,2.0,2.0,0.0
83bc1bfffffffff,12.0,0.0,12.0
83bc44fffffffff,2.0,2.0,0.0
83bc49fffffffff,2.0,2.0,0.0
83bc89fffffffff,4.0,0.0,0.0
83bcc1fffffffff,1.0,0.0,0.0
83bcd0fffffffff,1.0,0.0,1.0
83bcd2fffffffff,1.0,0.0,1.0
83bcddfffffffff,2.0,0.0,0.0
83bce2fffffffff,44.0,19.0,25.0
83bce6fffffffff,5.0,0.0,5.0
83bcf0fffffffff,19.0,0.0,19.0
83bcf1fffffffff,3.0,0.0,3.0
83bcf2fffffffff,45.0,0.0,45.0
83bcf3fffffffff,3.0,0.0,3.0
83bcf4fffffffff,11.0,0.0,11.0
83bcf5fffffffff,129.0,6.0,123.0
83bcf6fffffffff,20.0,0.0,20.0
