cell_id,Aulacorhynchus prasinus,Aulacorhynchus prasinus wagleri,Aulacorhynchus prasinus [prasinus Group],Aulacorhynchus prasinus caeruleogularis,Aulacorhynchus prasinus cognatus
824527fffffffff,1559.0,0.0,7.0,0.0,0.0
82452ffffffffff,1469.0,0.0,94.0,0.0,0.0
824537fffffffff,382.0,0.0,0.0,0.0,0.0
824997fffffffff,656.0,0.0,264.0,0.0,0.0
82499ffffffffff,32.0,0.0,0.0,0.0,0.0
8249b7fffffffff,259.0,166.0,0.0,0.0,0.0
826617fffffffff,116.0,0.0,0.0,0.0,68.0
8266a7fffffffff,1246.0,0.0,0.0,370.0,0.0
8266b7fffffffff,6549.0,0.0,0.0,494.0,0.0
826797fffffffff,2.0,0.0,0.0,0.0,0.0
82679ffffffffff,22.0,0.0,0.0,0.0,0.0
826d07fffffffff,106.0,0.0,14.0,0.0,0.0
826d17fffffffff,751.0,578.0,0.0,0.0,0.0
826d27fffffffff,388.0,0.0,117.0,0.0,0.0
826d2ffffffffff,6148.0,0.0,434.0,0.0,0.0
826d37fffffffff,443.0,12.0,129.0,0.0,0.0
826d67fffffffff,1968.0,0.0,83.0,0.0,0.0
826d6ffffffffff,8737.0,0.0,0.0,0.0,0.0
826d77fffffffff,287.0,0.0,0.0,0.0,0.0
