cell_id,Stercorarius antarcticus,Stercorarius antarcticus lonnbergi,Stercorarius antarcticus antarcticus,Stercorarius antarcticus hamiltoni
84601c5ffffffff,5.0,0.0,0.0,0.0
8460221ffffffff,6.0,6.0,0.0,0.0
8460263ffffffff,1.0,0.0,0.0,0.0
8461813ffffffff,7.0,0.0,0.0,0.0
84a242bffffffff,2.0,0.0,0.0,0.0
84a2543ffffffff,3.0,3.0,0.0,0.0
84a6153ffffffff,2.0,0.0,0.0,0.0
84a8143ffffffff,10.0,0.0,5.0,0.0
84a834bffffffff,2.0,0.0,0.0,0.0
84a8351ffffffff,5.0,0.0,0.0,0.0
84a8355ffffffff,13.0,0.0,0.0,0.0
84a835dffffffff,1.0,0.0,0.0,0.0
84a9217ffffffff,7.0,0.0,0.0,0.0
84ac12dffffffff,2.0,2.0,0.0,0.0
84ad111ffffffff,2.0,0.0,0.0,0.0
84ad347ffffffff,11.0,1.0,0.0,0.0
84ad34dffffffff,12.0,6.0,0.0,0.0
84ad36bffffffff,1.0,0.0,0.0,0.0
84b914dffffffff,1.0,0.0,0.0,0.0
84b959bffffffff,2.0,0.0,0.0,0.0
84bb283ffffffff,1.0,0.0,0.0,0.0
84bb295ffffffff,4.0,0.0,0.0,0.0
84bb2b5ffffffff,2.0,0.0,0.0,0.0
84bb2bdffffffff,4.0,4.0,0.0,0.0
84bb507ffffffff,2.0,0.0,0.0,0.0
84bb50dffffffff,2.0,0.0,0.0,0.0
84bb533ffffffff,7.0,5.0,0.0,0.0
84bb537ffffffff,10.0,8.0,0.0,0.0
84bb53dffffffff,1.0,0.0,0.0,0.0
84bb561ffffffff,3.0,0.0,0.0,0.0
84bb565ffffffff,2.0,2.0,0.0,0.0
84bb5a9ffffffff,2.0,0.0,0.0,0.0
84bc1b7ffffffff,1.0,0.0,0.0,1.0
84bc1cdffffffff,2.0,2.0,0.0,0.0
84bc653ffffffff,1.0,0.0,0.0,0.0
84be0c7ffffffff,7.0,0.0,0.0,0.0
84be0e1ffffffff,1.0,0.0,0.0,0.0
84be0e3ffffffff,8.0,0.0,0.0,0.0
84be0e7ffffffff,6.0,1.0,0.0,0.0
84be293ffffffff,39.0,2.0,0.0,0.0
84be60dffffffff,2.0,0.0,0.0,0.0
84be613ffffffff,4.0,0.0,0.0,0.0
84be639ffffffff,5.0,0.0,0.0,0.0
84be691ffffffff,1.0,0.0,0.0,0.0
84be695ffffffff,5.0,5.0,0.0,0.0
84be6ebffffffff,2.0,0.0,0.0,0.0
84be8a3ffffffff,2.0,0.0,0.0,0.0
84beab7ffffffff,13.0,0.0,0.0,0.0
84bf4e7ffffffff,2.0,0.0,0.0,0.0
84bf5b1ffffffff,6.0,5.0,0.0,0.0
84bf6b3ffffffff,1.0,0.0,0.0,0.0
84c01e1ffffffff,1.0,0.0,0.0,0.0
84c0e2dffffffff,1.0,0.0,0.0,1.0
84c2241ffffffff,6.0,0.0,0.0,0.0
84c2247ffffffff,5.0,0.0,0.0,0.0
84c2f05ffffffff,7.0,7.0,0.0,0.0
84c2f07ffffffff,8.0,0.0,0.0,0.0
84c2f1dffffffff,4.0,0.0,0.0,0.0
84c2f27ffffffff,4.0,0.0,0.0,0.0
84c2f2bffffffff,12.0,0.0,0.0,0.0
84c2f39ffffffff,6.0,0.0,2.0,0.0
84c30a9ffffffff,2.0,0.0,0.0,0.0
84c313dffffffff,3.0,0.0,0.0,0.0
84c320dffffffff,7.0,0.0,0.0,0.0
84c32a5ffffffff,2.0,0.0,2.0,0.0
84cc40dffffffff,2.0,2.0,0.0,0.0
84cf943ffffffff,2.0,0.0,0.0,0.0
84cfa47ffffffff,1.0,0.0,1.0,0.0
84d46b3ffffffff,4.0,2.0,0.0,0.0
84da005ffffffff,3.0,3.0,0.0,0.0
84da00dffffffff,19.0,12.0,0.0,0.0
84da013ffffffff,1.0,0.0,0.0,0.0
84da083ffffffff,1.0,0.0,0.0,0.0
84da0c1ffffffff,2.0,0.0,0.0,0.0
84da0c5ffffffff,2.0,0.0,0.0,0.0
84da0c7ffffffff,2.0,0.0,0.0,0.0
84da0cbffffffff,1.0,0.0,0.0,0.0
84da0cdffffffff,2.0,0.0,0.0,0.0
84da189ffffffff,27.0,27.0,0.0,0.0
84da1abffffffff,2.0,0.0,0.0,0.0
84da1c7ffffffff,3.0,0.0,0.0,0.0
84da1d5ffffffff,9.0,9.0,0.0,0.0
84da735ffffffff,2.0,2.0,0.0,0.0
84da841ffffffff,2.0,0.0,0.0,0.0
84da84bffffffff,2.0,0.0,0.0,0.0
84da85bffffffff,1.0,0.0,0.0,0.0
84da86bffffffff,1.0,0.0,0.0,0.0
84da8e5ffffffff,2.0,0.0,0.0,0.0
84da91bffffffff,1.0,0.0,0.0,0.0
84daa91ffffffff,9.0,9.0,0.0,0.0
84daa99ffffffff,2.0,0.0,0.0,0.0
84daaa1ffffffff,7.0,0.0,0.0,0.0
84daaabffffffff,17.0,7.0,0.0,0.0
84daabdffffffff,1.0,1.0,0.0,0.0
84dab37ffffffff,5.0,5.0,0.0,0.0
84db825ffffffff,5.0,4.0,0.0,0.0
84db857ffffffff,5.0,5.0,0.0,0.0
84db953ffffffff,2.0,2.0,0.0,0.0
84dceb5ffffffff,2.0,0.0,0.0,0.0
84de0a3ffffffff,3.0,1.0,0.0,0.0
84de0b9ffffffff,2.0,0.0,0.0,0.0
84de0bdffffffff,1.0,0.0,0.0,0.0
84de195ffffffff,2.0,0.0,0.0,0.0
84de48dffffffff,3.0,0.0,0.0,0.0
84de4ebffffffff,3.0,0.0,0.0,0.0
84de629ffffffff,2.0,0.0,2.0,0.0
84de665ffffffff,8.0,0.0,8.0,0.0
84de719ffffffff,1.0,0.0,1.0,0.0
84de743ffffffff,6.0,0.0,0.0,0.0
84de821ffffffff,2.0,0.0,0.0,0.0
84de951ffffffff,2.0,0.0,0.0,0.0
84df061ffffffff,2.0,2.0,0.0,0.0
84df069ffffffff,1.0,1.0,0.0,0.0
84df14bffffffff,6.0,6.0,0.0,0.0
84df315ffffffff,7.0,0.0,0.0,0.0
84df359ffffffff,1.0,0.0,0.0,0.0
84df35dffffffff,3.0,0.0,0.0,0.0
84df451ffffffff,1.0,0.0,0.0,0.0
84df733ffffffff,3.0,0.0,0.0,0.0
