cell_id,Quiscalus lugubris,Quiscalus lugubris [lugubris Group],Quiscalus lugubris fortirostris
844d497ffffffff,1.0,0.0,0.0
845e5cbffffffff,1.0,0.0,0.0
845e62dffffffff,1.0,0.0,0.0
845e705ffffffff,9.0,0.0,0.0
845e719ffffffff,1.0,0.0,0.0
845e72bffffffff,8.0,0.0,0.0
845e753ffffffff,3.0,0.0,0.0
845f5b5ffffffff,1.0,0.0,0.0
845f5bdffffffff,2.0,0.0,0.0
8466081ffffffff,2.0,0.0,0.0
84660b1ffffffff,2.0,0.0,0.0
84660bbffffffff,5.0,0.0,0.0
84660bdffffffff,8.0,0.0,0.0
84660c3ffffffff,6.0,0.0,0.0
84660c7ffffffff,6.0,0.0,0.0
84660d9ffffffff,8.0,0.0,0.0
84660ddffffffff,16.0,0.0,0.0
8466105ffffffff,2.0,0.0,0.0
8466107ffffffff,13.0,0.0,0.0
8466113ffffffff,23.0,0.0,0.0
8466117ffffffff,4.0,0.0,0.0
8466139ffffffff,59.0,0.0,0.0
846613bffffffff,4.0,0.0,0.0
8466163ffffffff,41.0,0.0,0.0
8466165ffffffff,2.0,0.0,0.0
8466167ffffffff,3.0,0.0,0.0
8466183ffffffff,1.0,0.0,0.0
846618bffffffff,2.0,0.0,0.0
8466191ffffffff,1.0,0.0,0.0
846619dffffffff,5.0,0.0,0.0
84661adffffffff,2.0,0.0,0.0
84661b3ffffffff,16.0,0.0,0.0
84661b9ffffffff,7.0,0.0,0.0
84661bbffffffff,12.0,0.0,0.0
84661c5ffffffff,4.0,0.0,0.0
84661d7ffffffff,4.0,0.0,0.0
84661e9ffffffff,4.0,0.0,0.0
84661ebffffffff,14.0,0.0,0.0
846620bffffffff,2.0,0.0,0.0
8466219ffffffff,2.0,0.0,0.0
8466221ffffffff,11.0,0.0,0.0
84662b1ffffffff,2.0,0.0,0.0
84662b7ffffffff,14.0,0.0,0.0
84662b9ffffffff,2.0,0.0,0.0
8466311ffffffff,1.0,0.0,0.0
8466313ffffffff,3.0,0.0,0.0
8466639ffffffff,3.0,0.0,0.0
8466a01ffffffff,2.0,0.0,0.0
8466a0bffffffff,53.0,0.0,0.0
8466a15ffffffff,8.0,0.0,0.0
8466a1dffffffff,1.0,0.0,0.0
8466a21ffffffff,1.0,0.0,0.0
8466a39ffffffff,18.0,0.0,0.0
8466a51ffffffff,12.0,0.0,0.0
8466a57ffffffff,2.0,0.0,0.0
8466a59ffffffff,8.0,0.0,0.0
8466a5bffffffff,100.0,0.0,0.0
8466a5dffffffff,4.0,0.0,0.0
8466b53ffffffff,2.0,0.0,0.0
8466b59ffffffff,4.0,0.0,0.0
8466c21ffffffff,6.0,0.0,0.0
8466c29ffffffff,4.0,0.0,0.0
8466d47ffffffff,2.0,0.0,0.0
8466d51ffffffff,1.0,0.0,0.0
8466dc1ffffffff,2.0,0.0,0.0
8466e65ffffffff,4.0,0.0,0.0
8466e6dffffffff,90.0,0.0,0.0
8466e8dffffffff,1.0,0.0,0.0
8466ec5ffffffff,3.0,0.0,0.0
8466ee5ffffffff,1.0,0.0,0.0
8466f57ffffffff,7.0,0.0,0.0
8467413ffffffff,15.0,0.0,0.0
846743dffffffff,1.0,0.0,0.0
8467447ffffffff,22.0,0.0,0.0
846746bffffffff,2.0,0.0,0.0
8467553ffffffff,18.0,0.0,0.0
84675cbffffffff,2.0,0.0,0.0
8467737ffffffff,4.0,0.0,0.0
8467835ffffffff,1.0,0.0,0.0
84678b3ffffffff,2.0,0.0,0.0
84679b7ffffffff,8.0,0.0,0.0
