cell_id,Cepphus columba,Cepphus columba snowi,Cepphus columba [columba Group]
830c12fffffffff,2.0,0.0,0.0
830c14fffffffff,220.0,0.0,0.0
830c40fffffffff,4.0,0.0,0.0
830c42fffffffff,2283.0,0.0,0.0
830c44fffffffff,53.0,0.0,0.0
830c45fffffffff,60.0,0.0,0.0
830c46fffffffff,113.0,0.0,0.0
830c50fffffffff,262.0,0.0,0.0
830c51fffffffff,1216.0,0.0,8.0
830c52fffffffff,6.0,0.0,0.0
830c53fffffffff,1.0,0.0,0.0
830c5afffffffff,1128.0,0.0,0.0
830c5efffffffff,8.0,0.0,0.0
830c68fffffffff,31.0,0.0,0.0
830c69fffffffff,4.0,0.0,0.0
830c6afffffffff,2.0,0.0,0.0
830c6dfffffffff,4.0,0.0,0.0
830c80fffffffff,20.0,0.0,0.0
830ca4fffffffff,2251.0,0.0,0.0
830ca5fffffffff,14.0,0.0,0.0
830cb6fffffffff,2.0,0.0,0.0
830ccafffffffff,1.0,0.0,0.0
830cccfffffffff,6.0,0.0,0.0
830ccefffffffff,1.0,0.0,0.0
830cd8fffffffff,16.0,0.0,0.0
830cdafffffffff,2.0,0.0,0.0
830cdcfffffffff,3.0,0.0,0.0
830cddfffffffff,4.0,0.0,0.0
830cdefffffffff,47.0,0.0,0.0
830ce8fffffffff,34.0,0.0,0.0
830ce9fffffffff,22.0,0.0,0.0
830cedfffffffff,57.0,0.0,0.0
830d88fffffffff,2.0,0.0,0.0
830d89fffffffff,2.0,0.0,0.0
830d98fffffffff,10.0,0.0,0.0
830d99fffffffff,1.0,0.0,0.0
831280fffffffff,23.0,0.0,0.0
831282fffffffff,7.0,0.0,0.0
831283fffffffff,7.0,0.0,0.0
831286fffffffff,41.0,0.0,0.0
831290fffffffff,131.0,0.0,0.0
831293fffffffff,39.0,0.0,0.0
831294fffffffff,93.0,0.0,0.0
831295fffffffff,11.0,0.0,0.0
831296fffffffff,5.0,0.0,0.0
831298fffffffff,74.0,0.0,0.0
831299fffffffff,69.0,0.0,0.0
83129afffffffff,47.0,0.0,0.0
83129bfffffffff,875.0,0.0,0.0
83129cfffffffff,19.0,0.0,0.0
83129dfffffffff,1.0,0.0,0.0
83129efffffffff,12.0,0.0,0.0
8312a2fffffffff,2.0,0.0,0.0
8312b0fffffffff,227.0,0.0,0.0
8312b1fffffffff,24.0,0.0,0.0
8312b2fffffffff,1.0,0.0,0.0
8312b3fffffffff,29.0,0.0,0.0
8312b4fffffffff,136.0,0.0,0.0
8312b6fffffffff,1.0,0.0,0.0
831390fffffffff,47.0,0.0,0.0
831391fffffffff,183.0,0.0,0.0
831393fffffffff,377.0,0.0,0.0
831396fffffffff,3.0,0.0,0.0
831398fffffffff,13.0,0.0,0.0
83139afffffffff,86.0,0.0,0.0
83139efffffffff,458.0,0.0,0.0
831601fffffffff,14.0,0.0,0.0
83160cfffffffff,26.0,0.0,0.0
83160efffffffff,2.0,0.0,0.0
831610fffffffff,2.0,0.0,0.0
831615fffffffff,5.0,0.0,0.0
831616fffffffff,29.0,2.0,0.0
831650fffffffff,308.0,0.0,0.0
831653fffffffff,59.0,0.0,0.0
831658fffffffff,28.0,0.0,0.0
83165efffffffff,40.0,0.0,26.0
831741fffffffff,3.0,0.0,0.0
831743fffffffff,27.0,2.0,0.0
831750fffffffff,23.0,4.0,0.0
831756fffffffff,6.0,0.0,0.0
83175cfffffffff,12.0,0.0,0.0
83176bfffffffff,17.0,0.0,0.0
831d20fffffffff,37.0,0.0,0.0
831d21fffffffff,2.0,0.0,0.0
831d24fffffffff,62.0,0.0,0.0
831d25fffffffff,12.0,0.0,0.0
831d64fffffffff,4.0,0.0,0.0
831db6fffffffff,2.0,0.0,0.0
83225afffffffff,845.0,0.0,0.0
83225bfffffffff,5.0,0.0,0.0
8322c0fffffffff,2.0,0.0,0.0
8322d0fffffffff,399.0,0.0,0.0
8322d6fffffffff,2.0,0.0,0.0
8322dbfffffffff,603.0,0.0,51.0
8322e8fffffffff,1.0,0.0,0.0
8322e9fffffffff,353.0,0.0,0.0
8322eefffffffff,12.0,0.0,0.0
832800fffffffff,28.0,0.0,0.0
832802fffffffff,598.0,0.0,0.0
832803fffffffff,173.0,0.0,0.0
832804fffffffff,16.0,0.0,0.0
832806fffffffff,825.0,0.0,0.0
832818fffffffff,164.0,0.0,0.0
832819fffffffff,936.0,0.0,0.0
83281bfffffffff,1394.0,0.0,0.0
83281cfffffffff,668.0,0.0,0.0
83281dfffffffff,245.0,0.0,0.0
832830fffffffff,2920.0,0.0,0.0
832831fffffffff,1873.0,0.0,0.0
832834fffffffff,8397.0,0.0,1.0
832835fffffffff,6500.0,0.0,0.0
8328c0fffffffff,62.0,0.0,0.0
8328c2fffffffff,1149.0,0.0,0.0
8328c3fffffffff,33.0,0.0,0.0
8328c4fffffffff,19.0,0.0,0.0
8328c6fffffffff,3439.0,0.0,0.0
8328cafffffffff,50.0,0.0,0.0
8328cbfffffffff,15.0,0.0,0.0
8328cefffffffff,89.0,0.0,0.0
8328d0fffffffff,100.0,0.0,0.0
8328d1fffffffff,19099.0,0.0,0.0
8328d5fffffffff,11322.0,0.0,0.0
8328d8fffffffff,1287.0,0.0,0.0
8328d9fffffffff,308.0,0.0,0.0
8328dafffffffff,3.0,0.0,0.0
8328dbfffffffff,4.0,0.0,0.0
8328dcfffffffff,2160.0,0.0,0.0
8328ddfffffffff,768.0,0.0,0.0
8328defffffffff,1145.0,0.0,0.0
8328e2fffffffff,1.0,0.0,0.0
8328e6fffffffff,32.0,0.0,0.0
8328f1fffffffff,2900.0,0.0,0.0
8328f5fffffffff,6012.0,0.0,0.0
832912fffffffff,1370.0,0.0,0.0
832913fffffffff,66.0,0.0,0.0
832916fffffffff,10.0,0.0,0.0
83291afffffffff,605.0,0.0,0.0
8329a1fffffffff,15.0,0.0,0.0
8329a5fffffffff,152.0,0.0,0.0
8329acfffffffff,2.0,0.0,0.0
8329adfffffffff,875.0,0.0,0.0
832e12fffffffff,161.0,60.0,36.0
832e13fffffffff,10.0,0.0,2.0
832ea3fffffffff,2.0,2.0,0.0
832eacfffffffff,10.0,3.0,0.0
832ef2fffffffff,1.0,0.0,0.0
