cell_id,Fulica alai,Fulica alai (Red-shielded),Fulica alai (White-shielded)
8446483ffffffff,1332.0,54.0,89.0
8446495ffffffff,677.0,27.0,66.0
8446497ffffffff,12.0,0.0,1.0
84464b9ffffffff,534.0,7.0,17.0
84464e1ffffffff,1166.0,30.0,201.0
84464e3ffffffff,216.0,7.0,31.0
84464e5ffffffff,616.0,31.0,176.0
84464e7ffffffff,90.0,7.0,27.0
845d101ffffffff,21.0,0.0,0.0
845d103ffffffff,2.0,0.0,0.0
845d105ffffffff,72.0,4.0,17.0
845d107ffffffff,2005.0,121.0,286.0
845d115ffffffff,484.0,1.0,75.0
845d131ffffffff,2.0,0.0,0.0
845d13dffffffff,1.0,0.0,0.0
845d145ffffffff,321.0,2.0,43.0
845d147ffffffff,5.0,0.0,0.0
845d169ffffffff,23.0,0.0,4.0
845d16bffffffff,806.0,23.0,97.0
