cell_id,Leptasthenura aegithaloides,Leptasthenura aegithaloides grisescens,Leptasthenura aegithaloides berlepschi,Leptasthenura aegithaloides aegithaloides,Leptasthenura aegithaloides pallida
83b200fffffffff,2.0,2.0,0.0,0.0,0.0
83b203fffffffff,2.0,2.0,0.0,0.0,0.0
83b228fffffffff,1.0,0.0,1.0,0.0,0.0
83b241fffffffff,6.0,0.0,0.0,0.0,0.0
83b244fffffffff,3.0,0.0,0.0,0.0,0.0
83b246fffffffff,14.0,0.0,0.0,0.0,0.0
83b259fffffffff,3.0,0.0,0.0,0.0,0.0
83b2c4fffffffff,5.0,0.0,0.0,4.0,0.0
83b2c5fffffffff,9.0,0.0,0.0,5.0,0.0
83b2ccfffffffff,3.0,0.0,0.0,0.0,3.0
83b2e2fffffffff,3.0,0.0,0.0,0.0,0.0
83b2e4fffffffff,1.0,0.0,0.0,0.0,0.0
83b2e9fffffffff,4.0,0.0,0.0,0.0,0.0
83b2eafffffffff,1.0,0.0,0.0,0.0,1.0
83b2ecfffffffff,4.0,0.0,0.0,0.0,0.0
83b2eefffffffff,13.0,0.0,0.0,0.0,11.0
83b30afffffffff,2.0,0.0,0.0,2.0,0.0
83b32cfffffffff,1.0,0.0,1.0,0.0,0.0
83b351fffffffff,5.0,0.0,5.0,0.0,0.0
83b353fffffffff,2.0,0.0,2.0,0.0,0.0
83b354fffffffff,4.0,0.0,1.0,3.0,0.0
83b373fffffffff,2.0,0.0,2.0,0.0,0.0
83c2e9fffffffff,10.0,0.0,0.0,0.0,0.0
83c320fffffffff,4.0,0.0,0.0,0.0,4.0
83c32afffffffff,7.0,0.0,0.0,0.0,3.0
83c32efffffffff,3.0,0.0,0.0,0.0,3.0
83c34bfffffffff,3.0,0.0,0.0,0.0,0.0
83c356fffffffff,4.0,0.0,0.0,0.0,0.0
83cf12fffffffff,14.0,0.0,0.0,0.0,4.0
83cf16fffffffff,4.0,0.0,0.0,0.0,0.0
83cf85fffffffff,2.0,0.0,0.0,0.0,2.0
83cf88fffffffff,11.0,0.0,0.0,0.0,3.0
83cf89fffffffff,3.0,0.0,0.0,0.0,3.0
83cf8afffffffff,2.0,0.0,0.0,0.0,0.0
83cf8dfffffffff,1.0,0.0,0.0,0.0,0.0
83cfa4fffffffff,3.0,0.0,0.0,0.0,0.0
83df68fffffffff,19.0,0.0,0.0,0.0,18.0
83df69fffffffff,2.0,0.0,0.0,0.0,1.0
83df6afffffffff,1.0,0.0,0.0,0.0,0.0
83df6bfffffffff,6.0,0.0,0.0,0.0,0.0
