cell_id,Piranga flava,Piranga flava [hepatica Group],Piranga flava [lutea Group],Piranga flava [flava Group]
83124bfffffffff,3.0,0.0,0.0,0.0
832688fffffffff,38.0,0.0,0.0,0.0
832689fffffffff,81.0,0.0,0.0,0.0
83268bfffffffff,25.0,0.0,0.0,0.0
83268dfffffffff,4.0,0.0,0.0,0.0
832696fffffffff,11.0,0.0,0.0,0.0
8326abfffffffff,2.0,0.0,0.0,0.0
8326d2fffffffff,3.0,0.0,0.0,0.0
8326d3fffffffff,3.0,0.0,0.0,0.0
8326d4fffffffff,14.0,0.0,0.0,0.0
8326f0fffffffff,2.0,0.0,0.0,0.0
8326f2fffffffff,3.0,0.0,0.0,0.0
832771fffffffff,30.0,0.0,0.0,0.0
832830fffffffff,1.0,0.0,0.0,0.0
832912fffffffff,7.0,0.0,0.0,0.0
832984fffffffff,16.0,0.0,0.0,0.0
832995fffffffff,1.0,0.0,0.0,0.0
8329a0fffffffff,67.0,0.0,0.0,0.0
8329a1fffffffff,19.0,1.0,0.0,0.0
8329a4fffffffff,214.0,8.0,0.0,0.0
8329a5fffffffff,83.0,1.0,0.0,0.0
8329b0fffffffff,3.0,0.0,0.0,0.0
8329b1fffffffff,3.0,0.0,0.0,0.0
8329b2fffffffff,2.0,0.0,0.0,0.0
8329b3fffffffff,6.0,0.0,0.0,0.0
8329b6fffffffff,28.0,10.0,0.0,0.0
832b1afffffffff,16.0,3.0,0.0,0.0
832b9bfffffffff,93.0,2.0,0.0,0.0
834446fffffffff,1.0,0.0,0.0,0.0
83446cfffffffff,18.0,0.0,0.0,0.0
83446efffffffff,3.0,0.0,0.0,0.0
834473fffffffff,3.0,0.0,0.0,0.0
834505fffffffff,5.0,0.0,0.0,0.0
834520fffffffff,4.0,0.0,0.0,0.0
834521fffffffff,3.0,0.0,0.0,0.0
834523fffffffff,48.0,5.0,0.0,0.0
834525fffffffff,4.0,0.0,0.0,0.0
834526fffffffff,1.0,0.0,0.0,0.0
83452afffffffff,2.0,0.0,0.0,0.0
83452efffffffff,14.0,0.0,0.0,0.0
834816fffffffff,2.0,0.0,0.0,0.0
83482efffffffff,1.0,0.0,0.0,0.0
834833fffffffff,33.0,6.0,0.0,0.0
834836fffffffff,2.0,0.0,0.0,0.0
834843fffffffff,4.0,0.0,0.0,0.0
83484afffffffff,1.0,0.0,0.0,0.0
834859fffffffff,1.0,0.0,0.0,0.0
83485bfffffffff,1.0,0.0,0.0,0.0
83485dfffffffff,1.0,1.0,0.0,0.0
83488bfffffffff,1.0,0.0,0.0,0.0
834898fffffffff,20.0,0.0,0.0,0.0
83489cfffffffff,3.0,0.0,0.0,0.0
8348a2fffffffff,4.0,2.0,0.0,0.0
8348abfffffffff,10.0,0.0,0.0,0.0
8348b1fffffffff,2.0,0.0,0.0,0.0
8348c1fffffffff,17.0,0.0,0.0,0.0
8348c2fffffffff,2.0,0.0,0.0,0.0
8348c5fffffffff,15.0,7.0,0.0,0.0
8348c6fffffffff,11.0,2.0,0.0,0.0
8348c9fffffffff,4.0,2.0,0.0,0.0
8348cdfffffffff,37.0,18.0,0.0,0.0
8348d0fffffffff,4.0,0.0,0.0,0.0
8348d4fffffffff,2.0,2.0,0.0,0.0
8348d8fffffffff,2.0,0.0,0.0,0.0
8348dafffffffff,6.0,0.0,0.0,0.0
8348dbfffffffff,1.0,0.0,0.0,0.0
8348e3fffffffff,14.0,2.0,0.0,0.0
8348e8fffffffff,286.0,16.0,0.0,0.0
8348e9fffffffff,3.0,0.0,0.0,0.0
