cell_id,Pogoniulus bilineatus,Pogoniulus bilineatus [bilineatus Group],Pogoniulus bilineatus makawai
846ac5bffffffff,4.0,4.0,0.0
846ac93ffffffff,3.0,0.0,0.0
846ac9bffffffff,2.0,0.0,0.0
846ada9ffffffff,2.0,0.0,0.0
847a40dffffffff,2.0,0.0,0.0
847a45dffffffff,1.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4cbffffffff,1.0,1.0,0.0
847a4d1ffffffff,15.0,0.0,0.0
847a4ddffffffff,5.0,1.0,0.0
847a641ffffffff,2.0,0.0,0.0
847a657ffffffff,3.0,0.0,0.0
847a6b5ffffffff,4.0,0.0,0.0
847a6e1ffffffff,2.0,0.0,0.0
847a6e5ffffffff,4.0,4.0,0.0
847b4c1ffffffff,8.0,0.0,0.0
847b4c5ffffffff,36.0,0.0,0.0
847b4c7ffffffff,60.0,0.0,0.0
847b4c9ffffffff,2.0,0.0,0.0
847b4cbffffffff,10.0,0.0,0.0
8497265ffffffff,1.0,1.0,0.0
84bcd45ffffffff,4.0,4.0,0.0
84bcd63ffffffff,4.0,4.0,0.0
