cell_id,Ramphastos vitellinus,Ramphastos vitellinus citreolaemus,Ramphastos vitellinus culminatus/pintoi,Ramphastos vitellinus vitellinus,Ramphastos vitellinus ariel,Ramphastos vitellinus citreolaemus x culminatus,Ramphastos vitellinus culminatus x vitellinus,Ramphastos vitellinus culminatus x ariel
825e67fffffffff,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
825f1ffffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
825f5ffffffffff,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
82660ffffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,178.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
826647fffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
82664ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
8266e7fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82806ffffffffff,7.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
828147fffffffff,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
828167fffffffff,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
828177fffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
828187fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8281a7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a87fffffffff,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
828a9ffffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
828b47fffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
828b77fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
828bb7fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
828f77fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82a837fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
82a887fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
82a897fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
82a8a7fffffffff,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
82a8c7fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82a8d7fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82a8effffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
