cell_id,Emberizoides herbicola,Emberizoides herbicola [sphenurus Group],Emberizoides herbicola herbicola
835f08fffffffff,2.0,0.0,0.0
835f12fffffffff,7.0,0.0,0.0
835f13fffffffff,17.0,0.0,0.0
835f1cfffffffff,2.0,0.0,0.0
835f22fffffffff,19.0,0.0,0.0
835f29fffffffff,57.0,0.0,0.0
835f2bfffffffff,108.0,0.0,0.0
835f2dfffffffff,12.0,0.0,0.0
835f40fffffffff,6.0,0.0,0.0
835f4bfffffffff,2.0,0.0,0.0
835f5dfffffffff,1.0,0.0,0.0
835f68fffffffff,9.0,0.0,0.0
835f70fffffffff,3.0,0.0,0.0
835f71fffffffff,13.0,0.0,0.0
835f75fffffffff,49.0,0.0,0.0
836608fffffffff,8.0,0.0,0.0
836609fffffffff,4.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0
83660bfffffffff,10.0,0.0,0.0
836618fffffffff,10.0,0.0,0.0
836619fffffffff,74.0,0.0,0.0
83661bfffffffff,22.0,0.0,0.0
83661dfffffffff,109.0,0.0,0.0
836629fffffffff,4.0,0.0,0.0
83662bfffffffff,5.0,0.0,0.0
83662efffffffff,4.0,0.0,0.0
836641fffffffff,188.0,0.0,0.0
836644fffffffff,2.0,0.0,0.0
836646fffffffff,3.0,0.0,0.0
836650fffffffff,9.0,0.0,0.0
836651fffffffff,2.0,0.0,0.0
836652fffffffff,156.0,0.0,0.0
836653fffffffff,4.0,0.0,0.0
836654fffffffff,51.0,0.0,0.0
836655fffffffff,1.0,0.0,0.0
836656fffffffff,74.0,0.0,0.0
836660fffffffff,2.0,0.0,0.0
836663fffffffff,15.0,0.0,0.0
83666afffffffff,2.0,0.0,0.0
83666bfffffffff,4.0,0.0,0.0
83666efffffffff,2.0,0.0,0.0
836670fffffffff,15.0,0.0,0.0
836671fffffffff,7.0,0.0,0.0
836672fffffffff,14.0,0.0,0.0
836673fffffffff,25.0,0.0,0.0
836675fffffffff,13.0,0.0,0.0
8366a0fffffffff,421.0,0.0,0.0
8366a1fffffffff,2.0,0.0,0.0
8366a2fffffffff,1.0,0.0,0.0
8366a5fffffffff,80.0,0.0,0.0
8366c0fffffffff,1.0,0.0,0.0
8366c4fffffffff,9.0,0.0,0.0
8366c5fffffffff,5.0,0.0,0.0
8366c6fffffffff,54.0,0.0,0.0
8366d5fffffffff,1.0,0.0,0.0
8366e0fffffffff,10.0,0.0,0.0
8366e1fffffffff,46.0,0.0,0.0
8366e2fffffffff,2.0,0.0,0.0
8366e3fffffffff,10.0,0.0,0.0
8366e4fffffffff,20.0,0.0,0.0
