cell_id,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus [brunneicapillus Group],Campylorhynchus brunneicapillus [affinis Group]
8326d2fffffffff,71.0,0.0,0.0
8326d6fffffffff,7.0,0.0,0.0
8326d9fffffffff,34.0,0.0,0.0
8326dafffffffff,37.0,0.0,0.0
8326dbfffffffff,126.0,0.0,0.0
832912fffffffff,17.0,0.0,0.0
832980fffffffff,9.0,0.0,0.0
832981fffffffff,132.0,0.0,0.0
832984fffffffff,275.0,0.0,0.0
832985fffffffff,37.0,0.0,0.0
832986fffffffff,391.0,0.0,0.0
832990fffffffff,3.0,0.0,0.0
832994fffffffff,2.0,0.0,0.0
832995fffffffff,690.0,0.0,0.0
8329a0fffffffff,2779.0,0.0,0.0
8329a1fffffffff,3447.0,0.0,0.0
8329a2fffffffff,1535.0,0.0,0.0
8329a3fffffffff,88.0,0.0,0.0
8329a4fffffffff,291.0,0.0,0.0
8329a5fffffffff,661.0,0.0,0.0
8329a6fffffffff,4445.0,0.0,0.0
8329aafffffffff,20.0,0.0,0.0
8329aefffffffff,1910.0,0.0,0.0
8329b0fffffffff,371.0,0.0,0.0
8329b1fffffffff,1205.0,0.0,0.0
8329b2fffffffff,136.0,0.0,0.0
8329b3fffffffff,164.0,0.0,0.0
8329b4fffffffff,109.0,0.0,0.0
8329b5fffffffff,134.0,0.0,0.0
8329b6fffffffff,4636.0,0.0,0.0
834801fffffffff,51.0,0.0,0.0
834802fffffffff,2.0,0.0,0.0
834803fffffffff,7.0,0.0,0.0
834805fffffffff,621.0,0.0,10.0
834808fffffffff,16.0,0.0,0.0
834809fffffffff,561.0,0.0,0.0
83480afffffffff,64.0,0.0,0.0
83480bfffffffff,70.0,0.0,0.0
83480cfffffffff,2.0,0.0,0.0
83480dfffffffff,222.0,0.0,0.0
83480efffffffff,128.0,0.0,0.0
834810fffffffff,110.0,0.0,0.0
834812fffffffff,14.0,0.0,0.0
834813fffffffff,6.0,0.0,0.0
834814fffffffff,357.0,0.0,0.0
834816fffffffff,67.0,0.0,0.0
83481afffffffff,12.0,0.0,0.0
83481bfffffffff,6.0,0.0,0.0
83481efffffffff,6.0,0.0,0.0
834823fffffffff,1176.0,0.0,25.0
834828fffffffff,45.0,0.0,0.0
834829fffffffff,11.0,0.0,0.0
83482afffffffff,1049.0,0.0,16.0
83482bfffffffff,112.0,0.0,4.0
83482efffffffff,769.0,0.0,6.0
834833fffffffff,1.0,0.0,0.0
