cell_id,Leucosticte arctoa,Leucosticte arctoa [arctoa Group],Leucosticte arctoa brunneonucha/gigliolii
84058cbffffffff,3.0,0.0,0.0
8415909ffffffff,2.0,0.0,0.0
841598bffffffff,10.0,0.0,0.0
8415995ffffffff,1.0,0.0,0.0
8416a5bffffffff,1.0,0.0,0.0
8417439ffffffff,2.0,0.0,0.0
8417509ffffffff,6.0,0.0,0.0
84175cdffffffff,10.0,0.0,0.0
8420499ffffffff,1.0,0.0,0.0
842049bffffffff,2.0,0.0,0.0
84204c3ffffffff,1.0,0.0,0.0
84206b5ffffffff,2.0,0.0,0.0
842400dffffffff,1.0,0.0,0.0
8424063ffffffff,1.0,0.0,0.0
842406bffffffff,1.0,0.0,0.0
8424265ffffffff,31.0,0.0,0.0
84246adffffffff,2.0,0.0,0.0
8425121ffffffff,2.0,0.0,0.0
8425125ffffffff,3.0,0.0,0.0
842515dffffffff,1.0,0.0,0.0
8425161ffffffff,2.0,0.0,0.0
8425163ffffffff,1.0,0.0,0.0
8425327ffffffff,1.0,0.0,0.0
8425459ffffffff,2.0,0.0,0.0
8425597ffffffff,6.0,0.0,0.0
84255a7ffffffff,3.0,0.0,0.0
84255b5ffffffff,1.0,0.0,0.0
8425a19ffffffff,1.0,0.0,0.0
842e123ffffffff,23.0,0.0,0.0
842e127ffffffff,5.0,0.0,0.0
842e135ffffffff,44.0,0.0,0.0
842e137ffffffff,2.0,0.0,0.0
842e187ffffffff,1.0,0.0,0.0
842e191ffffffff,5.0,0.0,0.0
842e193ffffffff,1.0,0.0,0.0
842e197ffffffff,1.0,0.0,0.0
842e19dffffffff,2.0,0.0,0.0
842e1a5ffffffff,1.0,0.0,0.0
842e1b1ffffffff,5.0,0.0,0.0
842e1b3ffffffff,1.0,0.0,0.0
842e449ffffffff,3.0,0.0,0.0
842e62bffffffff,1.0,0.0,0.0
842e667ffffffff,1.0,0.0,0.0
842e74dffffffff,1.0,0.0,0.0
842e753ffffffff,1.0,0.0,0.0
842e755ffffffff,1.0,0.0,0.0
842e759ffffffff,4.0,0.0,0.0
842e75dffffffff,4.0,0.0,0.0
842ea89ffffffff,9.0,0.0,0.0
842eac1ffffffff,23.0,0.0,0.0
842eac3ffffffff,2.0,0.0,0.0
842eac7ffffffff,6.0,0.0,0.0
842eac9ffffffff,35.0,0.0,0.0
842eacbffffffff,1.0,0.0,0.0
842ead5ffffffff,2.0,0.0,0.0
842ead9ffffffff,5.0,0.0,0.0
842eaddffffffff,7.0,0.0,0.0
842f5a7ffffffff,1.0,0.0,0.0
8430e8dffffffff,7.0,0.0,0.0
84316cbffffffff,1.0,0.0,0.0
