cell_id,Chlorospingus flavigularis,Chlorospingus flavigularis hypophaeus,Chlorospingus flavigularis flavigularis/marginatus
83660bfffffffff,13.0,0.0,0.0
83660cfffffffff,1.0,0.0,0.0
836618fffffffff,17.0,0.0,0.0
836619fffffffff,174.0,0.0,0.0
83661afffffffff,1.0,0.0,0.0
83661bfffffffff,650.0,0.0,79.0
83661dfffffffff,965.0,0.0,0.0
8366a0fffffffff,28.0,2.0,0.0
8366a5fffffffff,3.0,0.0,0.0
8366b5fffffffff,138.0,7.0,0.0
8366c0fffffffff,391.0,0.0,0.0
8366c2fffffffff,426.0,0.0,6.0
8366c4fffffffff,18.0,0.0,0.0
8366c6fffffffff,40.0,0.0,0.0
8366d0fffffffff,2207.0,0.0,175.0
8366d1fffffffff,336.0,0.0,6.0
8366d2fffffffff,5.0,0.0,0.0
8366d3fffffffff,4583.0,0.0,642.0
8366dafffffffff,210.0,0.0,45.0
8366defffffffff,1208.0,0.0,152.0
8366e0fffffffff,22.0,0.0,0.0
8366e2fffffffff,9.0,0.0,0.0
8366e5fffffffff,51.0,0.0,0.0
8366e6fffffffff,34.0,0.0,0.0
8366f0fffffffff,264.0,0.0,8.0
8366f1fffffffff,655.0,0.0,18.0
8366f3fffffffff,3.0,0.0,0.0
8366f5fffffffff,188.0,0.0,0.0
838b61fffffffff,1065.0,0.0,26.0
838b63fffffffff,9.0,0.0,0.0
838b6cfffffffff,33.0,0.0,0.0
838b75fffffffff,3.0,0.0,0.0
838e64fffffffff,69.0,0.0,0.0
838e65fffffffff,38.0,0.0,0.0
838f0dfffffffff,461.0,0.0,72.0
838f29fffffffff,54.0,0.0,2.0
838f2bfffffffff,59.0,0.0,3.0
838f2cfffffffff,55.0,0.0,0.0
838f2dfffffffff,11.0,0.0,0.0
838f40fffffffff,6.0,0.0,0.0
838f43fffffffff,45.0,0.0,6.0
838f46fffffffff,161.0,0.0,9.0
838f48fffffffff,2.0,0.0,0.0
838f4afffffffff,4.0,0.0,0.0
838f54fffffffff,13.0,0.0,0.0
838f55fffffffff,7.0,0.0,0.0
838f5dfffffffff,14.0,0.0,0.0
838f70fffffffff,57.0,0.0,9.0
838f72fffffffff,847.0,0.0,122.0
838f73fffffffff,32.0,0.0,0.0
838f74fffffffff,50.0,0.0,0.0
838f76fffffffff,77.0,0.0,3.0
