cell_id,Tringa semipalmata,Tringa semipalmata semipalmata,Tringa semipalmata inornata
830c55fffffffff,11.0,0.0,6.0
830e49fffffffff,6.0,0.0,0.0
830e4dfffffffff,1.0,0.0,0.0
830eeafffffffff,2.0,0.0,0.0
831251fffffffff,4.0,0.0,4.0
831252fffffffff,1.0,0.0,0.0
831259fffffffff,1.0,0.0,0.0
8312c1fffffffff,2.0,0.0,0.0
8312c8fffffffff,1.0,0.0,0.0
8312c9fffffffff,5.0,0.0,2.0
8312cbfffffffff,2.0,0.0,0.0
8312ccfffffffff,10.0,0.0,2.0
8312cdfffffffff,2.0,0.0,0.0
8312cefffffffff,5.0,0.0,0.0
8312d8fffffffff,2.0,0.0,0.0
8312dbfffffffff,4.0,0.0,0.0
8312ddfffffffff,4.0,0.0,0.0
8312defffffffff,4.0,0.0,0.0
8312e2fffffffff,2.0,0.0,0.0
8312eafffffffff,2.0,0.0,0.0
8312ecfffffffff,4.0,0.0,3.0
8312f6fffffffff,2.0,0.0,0.0
831386fffffffff,5.0,0.0,0.0
831aa0fffffffff,2.0,0.0,0.0
831aa2fffffffff,7.0,0.0,3.0
831aa3fffffffff,76.0,6.0,0.0
831b83fffffffff,1.0,0.0,0.0
831b8afffffffff,2.0,2.0,0.0
831b9afffffffff,63.0,0.0,0.0
832601fffffffff,3.0,0.0,3.0
832602fffffffff,2.0,0.0,0.0
832603fffffffff,5.0,0.0,3.0
832608fffffffff,1.0,0.0,0.0
83260afffffffff,8.0,0.0,1.0
83260bfffffffff,17.0,0.0,6.0
83260dfffffffff,2.0,0.0,0.0
83260efffffffff,2.0,0.0,0.0
832611fffffffff,2.0,0.0,0.0
83261dfffffffff,2.0,0.0,0.0
832620fffffffff,2.0,0.0,0.0
832623fffffffff,5.0,0.0,0.0
832624fffffffff,2.0,0.0,0.0
832625fffffffff,2.0,0.0,0.0
832629fffffffff,2.0,0.0,2.0
83262bfffffffff,2.0,0.0,0.0
832634fffffffff,1.0,0.0,0.0
832641fffffffff,3.0,0.0,0.0
832642fffffffff,3.0,0.0,0.0
832643fffffffff,8.0,0.0,0.0
832646fffffffff,22.0,0.0,12.0
832648fffffffff,31.0,0.0,8.0
832649fffffffff,3.0,0.0,0.0
83264afffffffff,5.0,0.0,0.0
83264bfffffffff,5.0,0.0,1.0
83264cfffffffff,51.0,0.0,7.0
83264dfffffffff,54.0,0.0,18.0
83264efffffffff,7.0,0.0,2.0
832652fffffffff,6.0,0.0,0.0
832653fffffffff,23.0,0.0,0.0
832654fffffffff,9.0,0.0,0.0
832655fffffffff,39.0,0.0,2.0
832656fffffffff,7.0,0.0,1.0
832659fffffffff,43.0,0.0,7.0
83265bfffffffff,2.0,0.0,0.0
83265dfffffffff,5.0,0.0,0.0
83265efffffffff,2.0,0.0,0.0
