cell_id,Strix leptogrammica,Strix leptogrammica [indranee Group],Strix leptogrammica niasensis,Strix leptogrammica [leptogrammica Group]
84309a5ffffffff,5.0,0.0,0.0,0.0
843c029ffffffff,2.0,0.0,0.0,0.0
843c02dffffffff,32.0,0.0,0.0,0.0
843c067ffffffff,13.0,0.0,0.0,0.0
843c0a5ffffffff,23.0,0.0,0.0,0.0
843c0adffffffff,1.0,0.0,0.0,0.0
843c0b5ffffffff,2.0,0.0,0.0,0.0
843c159ffffffff,4.0,0.0,0.0,0.0
843c199ffffffff,6.0,0.0,0.0,0.0
843c1c3ffffffff,4.0,0.0,0.0,0.0
843c1d3ffffffff,5.0,0.0,0.0,0.0
843c1d7ffffffff,1.0,0.0,0.0,0.0
843c1dbffffffff,2.0,0.0,0.0,0.0
843c36bffffffff,3.0,0.0,0.0,0.0
843c527ffffffff,17.0,0.0,0.0,0.0
843c533ffffffff,3.0,0.0,0.0,0.0
843c581ffffffff,42.0,0.0,0.0,0.0
843c587ffffffff,2.0,0.0,0.0,0.0
843c5a9ffffffff,4.0,0.0,0.0,0.0
843c5bdffffffff,2.0,0.0,0.0,0.0
843cb51ffffffff,1.0,0.0,0.0,0.0
843cb59ffffffff,2.0,0.0,0.0,0.0
843cc0bffffffff,1.0,0.0,0.0,0.0
843cc11ffffffff,2.0,0.0,0.0,0.0
843cc31ffffffff,20.0,0.0,0.0,0.0
843cd8bffffffff,6.0,0.0,0.0,0.0
843ce15ffffffff,7.0,0.0,0.0,0.0
843ce31ffffffff,2.0,0.0,0.0,0.0
843ce4bffffffff,2.0,0.0,0.0,0.0
843ce51ffffffff,5.0,0.0,0.0,0.0
843ce59ffffffff,2.0,0.0,0.0,0.0
843ce5bffffffff,24.0,0.0,0.0,0.0
843ce5dffffffff,3.0,0.0,0.0,0.0
843cec9ffffffff,2.0,0.0,0.0,0.0
843d103ffffffff,6.0,0.0,0.0,0.0
843d107ffffffff,16.0,0.0,0.0,0.0
843d109ffffffff,13.0,0.0,0.0,0.0
843d10bffffffff,2.0,0.0,0.0,0.0
843d137ffffffff,2.0,0.0,0.0,0.0
843d139ffffffff,5.0,0.0,0.0,0.0
843d13dffffffff,2.0,0.0,0.0,0.0
843d1e7ffffffff,22.0,0.0,0.0,0.0
843d1edffffffff,21.0,0.0,0.0,0.0
843d33dffffffff,2.0,0.0,0.0,0.0
843da99ffffffff,3.0,0.0,0.0,0.0
843dad1ffffffff,472.0,0.0,0.0,0.0
843dad9ffffffff,15.0,0.0,0.0,0.0
843dadbffffffff,4.0,0.0,0.0,0.0
843daddffffffff,11.0,0.0,0.0,0.0
8440439ffffffff,1.0,0.0,0.0,0.0
8440447ffffffff,3.0,0.0,0.0,0.0
84404c1ffffffff,5.0,0.0,0.0,0.0
84404c3ffffffff,2.0,0.0,0.0,0.0
84404cbffffffff,6.0,0.0,0.0,0.0
84404cdffffffff,2.0,0.0,0.0,0.0
84404ddffffffff,14.0,0.0,0.0,0.0
84404e1ffffffff,2.0,0.0,0.0,0.0
8440611ffffffff,2.0,0.0,0.0,0.0
8440613ffffffff,2.0,0.0,0.0,0.0
8440619ffffffff,11.0,0.0,0.0,0.0
84406b5ffffffff,2.0,0.0,0.0,0.0
84406b7ffffffff,4.0,0.0,0.0,0.0
84411b5ffffffff,4.0,0.0,0.0,0.0
