cell_id,Picus canus,Picus canus canus/jessoensis,Picus canus [guerini Group],Picus canus dedemi
830806fffffffff,3.0,0.0,0.0,0.0
830813fffffffff,4.0,0.0,0.0,0.0
830829fffffffff,1.0,0.0,0.0,0.0
830880fffffffff,4.0,0.0,0.0,0.0
830882fffffffff,2.0,0.0,0.0,0.0
830883fffffffff,11.0,0.0,0.0,0.0
830884fffffffff,17.0,0.0,0.0,0.0
830885fffffffff,2.0,0.0,0.0,0.0
830886fffffffff,4.0,0.0,0.0,0.0
830888fffffffff,5.0,0.0,0.0,0.0
83088afffffffff,4.0,0.0,0.0,0.0
83088bfffffffff,2.0,0.0,0.0,0.0
830898fffffffff,11.0,0.0,0.0,0.0
830899fffffffff,44.0,7.0,0.0,0.0
83089afffffffff,26.0,0.0,0.0,0.0
83089dfffffffff,38.0,0.0,0.0,0.0
83089efffffffff,2.0,0.0,0.0,0.0
8308a3fffffffff,2.0,0.0,0.0,0.0
8308a8fffffffff,1.0,0.0,0.0,0.0
8308b1fffffffff,2.0,0.0,0.0,0.0
8308c8fffffffff,3.0,0.0,0.0,0.0
8308d1fffffffff,3.0,0.0,0.0,0.0
8308d5fffffffff,2.0,0.0,0.0,0.0
8308eafffffffff,1.0,0.0,0.0,0.0
830982fffffffff,3.0,0.0,0.0,0.0
83098afffffffff,2.0,0.0,0.0,0.0
830991fffffffff,11.0,0.0,0.0,0.0
830999fffffffff,2.0,0.0,0.0,0.0
83099cfffffffff,2.0,0.0,0.0,0.0
830b91fffffffff,2.0,0.0,0.0,0.0
830bb0fffffffff,4.0,0.0,0.0,0.0
8310a2fffffffff,1.0,0.0,0.0,0.0
8310c2fffffffff,14.0,0.0,0.0,0.0
8310dcfffffffff,6.0,0.0,0.0,0.0
8310f2fffffffff,4.0,0.0,0.0,0.0
831104fffffffff,1.0,0.0,0.0,0.0
831105fffffffff,11.0,2.0,0.0,0.0
831106fffffffff,17.0,0.0,0.0,0.0
831116fffffffff,25.0,0.0,0.0,0.0
831122fffffffff,1.0,0.0,0.0,0.0
831123fffffffff,7.0,0.0,0.0,0.0
831124fffffffff,9.0,0.0,0.0,0.0
831125fffffffff,1.0,0.0,0.0,0.0
831126fffffffff,49.0,4.0,0.0,0.0
83112afffffffff,2.0,2.0,0.0,0.0
83112efffffffff,2.0,2.0,0.0,0.0
831134fffffffff,68.0,0.0,0.0,0.0
831135fffffffff,11.0,0.0,0.0,0.0
831136fffffffff,17.0,0.0,0.0,0.0
831181fffffffff,46.0,0.0,0.0,0.0
831185fffffffff,8.0,0.0,0.0,0.0
831189fffffffff,4.0,0.0,0.0,0.0
83118afffffffff,18.0,0.0,0.0,0.0
83118cfffffffff,26.0,0.0,0.0,0.0
83118efffffffff,2.0,0.0,0.0,0.0
831191fffffffff,2.0,0.0,0.0,0.0
83119cfffffffff,6.0,0.0,0.0,0.0
8311a4fffffffff,2.0,0.0,0.0,0.0
8311aafffffffff,50.0,2.0,0.0,0.0
8311abfffffffff,5.0,0.0,0.0,0.0
8311aefffffffff,51.0,15.0,0.0,0.0
8311b4fffffffff,12.0,0.0,0.0,0.0
83148cfffffffff,21.0,0.0,0.0,0.0
83149afffffffff,2.0,0.0,0.0,0.0
8314aefffffffff,11.0,0.0,0.0,0.0
8314d6fffffffff,2.0,0.0,0.0,0.0
831588fffffffff,1.0,0.0,0.0,0.0
831598fffffffff,14.0,0.0,0.0,0.0
83159bfffffffff,1.0,0.0,0.0,0.0
831861fffffffff,2.0,0.0,0.0,0.0
83186cfffffffff,3.0,0.0,0.0,0.0
831e00fffffffff,14.0,0.0,0.0,0.0
831e01fffffffff,12.0,0.0,0.0,0.0
831e02fffffffff,32.0,0.0,0.0,0.0
831e03fffffffff,65.0,2.0,0.0,0.0
831e04fffffffff,107.0,0.0,0.0,0.0
831e05fffffffff,22.0,0.0,0.0,0.0
831e06fffffffff,161.0,0.0,0.0,0.0
831e08fffffffff,6.0,0.0,0.0,0.0
831e0afffffffff,6.0,0.0,0.0,0.0
831e0bfffffffff,2.0,0.0,0.0,0.0
831e0cfffffffff,84.0,0.0,0.0,0.0
831e0dfffffffff,1.0,0.0,0.0,0.0
831e0efffffffff,43.0,0.0,0.0,0.0
831e10fffffffff,6.0,0.0,0.0,0.0
831e11fffffffff,11.0,0.0,0.0,0.0
831e12fffffffff,139.0,0.0,0.0,0.0
831e13fffffffff,150.0,0.0,0.0,0.0
831e14fffffffff,10.0,0.0,0.0,0.0
831e15fffffffff,9.0,2.0,0.0,0.0
831e16fffffffff,11.0,0.0,0.0,0.0
831e18fffffffff,7.0,0.0,0.0,0.0
831e1afffffffff,11.0,0.0,0.0,0.0
831e1bfffffffff,15.0,0.0,0.0,0.0
831e1cfffffffff,15.0,0.0,0.0,0.0
831e1dfffffffff,3.0,0.0,0.0,0.0
831e1efffffffff,25.0,0.0,0.0,0.0
831e20fffffffff,13.0,0.0,0.0,0.0
831e22fffffffff,22.0,0.0,0.0,0.0
831e23fffffffff,41.0,0.0,0.0,0.0
831e24fffffffff,2.0,0.0,0.0,0.0
831e26fffffffff,35.0,0.0,0.0,0.0
831e28fffffffff,5.0,0.0,0.0,0.0
831e29fffffffff,6.0,0.0,0.0,0.0
831e2afffffffff,44.0,0.0,0.0,0.0
831e2bfffffffff,11.0,0.0,0.0,0.0
831e2efffffffff,10.0,0.0,0.0,0.0
831e30fffffffff,50.0,0.0,0.0,0.0
831e31fffffffff,6.0,0.0,0.0,0.0
831e32fffffffff,69.0,6.0,0.0,0.0
831e33fffffffff,43.0,1.0,0.0,0.0
831e34fffffffff,53.0,0.0,0.0,0.0
831e35fffffffff,67.0,0.0,0.0,0.0
831e36fffffffff,24.0,0.0,0.0,0.0
831e42fffffffff,92.0,0.0,0.0,0.0
