cell_id,Buceros hydrocorax,Buceros hydrocorax hydrocorax,Buceros hydrocorax semigaleatus,Buceros hydrocorax mindanensis
8468411ffffffff,1.0,0.0,0.0,1.0
8468415ffffffff,9.0,0.0,0.0,0.0
8468417ffffffff,1.0,0.0,0.0,0.0
846841bffffffff,12.0,0.0,0.0,2.0
8468435ffffffff,2.0,0.0,0.0,0.0
8468447ffffffff,1.0,0.0,0.0,0.0
8468459ffffffff,4.0,0.0,0.0,0.0
84684e5ffffffff,244.0,0.0,0.0,64.0
846856bffffffff,18.0,0.0,0.0,10.0
8468583ffffffff,2.0,0.0,0.0,2.0
846858bffffffff,11.0,0.0,0.0,2.0
84685c3ffffffff,3.0,0.0,0.0,1.0
84685c7ffffffff,11.0,0.0,0.0,4.0
84685d5ffffffff,1.0,0.0,0.0,0.0
84685d7ffffffff,4.0,0.0,0.0,2.0
84685d9ffffffff,2.0,0.0,0.0,0.0
84685dbffffffff,6.0,0.0,0.0,5.0
84685e1ffffffff,4.0,0.0,0.0,0.0
84685e5ffffffff,1.0,0.0,0.0,0.0
84685e9ffffffff,53.0,0.0,0.0,18.0
84685edffffffff,6.0,0.0,0.0,4.0
84686e9ffffffff,50.0,0.0,0.0,0.0
8469433ffffffff,4.0,0.0,0.0,0.0
8469439ffffffff,6.0,0.0,0.0,0.0
846943bffffffff,3.0,0.0,0.0,0.0
84694a9ffffffff,2.0,1.0,0.0,0.0
84694cdffffffff,20.0,15.0,0.0,0.0
84694e1ffffffff,157.0,53.0,0.0,0.0
84694e5ffffffff,2.0,0.0,0.0,0.0
84694e7ffffffff,9.0,0.0,0.0,0.0
84694e9ffffffff,2.0,0.0,0.0,0.0
84694ebffffffff,4.0,0.0,0.0,0.0
8469683ffffffff,7.0,1.0,0.0,0.0
846968bffffffff,2.0,0.0,0.0,0.0
846969dffffffff,6.0,5.0,0.0,0.0
84696b9ffffffff,1.0,0.0,0.0,0.0
84696c3ffffffff,1.0,0.0,0.0,0.0
84696cbffffffff,14.0,3.0,0.0,0.0
84696d7ffffffff,13.0,10.0,0.0,0.0
