cell_id,Thlypopsis sordida,Thlypopsis sordida chrysopis/orinocensis,Thlypopsis sordida sordida
836641fffffffff,36.0,0.0,0.0
836654fffffffff,2.0,0.0,0.0
836673fffffffff,6.0,0.0,0.0
836675fffffffff,1.0,0.0,0.0
8366ecfffffffff,2.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0
838f40fffffffff,15.0,0.0,0.0
838f70fffffffff,2.0,0.0,0.0
83a845fffffffff,5.0,0.0,0.0
83a946fffffffff,4.0,0.0,0.0
83a94efffffffff,14.0,0.0,0.0
83a95dfffffffff,2.0,0.0,0.0
83a961fffffffff,33.0,0.0,0.0
83a965fffffffff,31.0,0.0,0.0
83b249fffffffff,11.0,0.0,0.0
83b269fffffffff,6.0,0.0,0.0
83b274fffffffff,2.0,0.0,0.0
83b342fffffffff,1.0,0.0,0.0
83b35bfffffffff,2.0,0.0,0.0
83c2e3fffffffff,5.0,0.0,0.0
