cell_id,Aramides cajaneus,Aramides cajaneus cajaneus,Aramides cajaneus avicenniae
835f01fffffffff,1.0,1.0,0.0
835f4afffffffff,1.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0
83661cfffffffff,2.0,0.0,0.0
836629fffffffff,3.0,0.0,0.0
836664fffffffff,3.0,0.0,0.0
836672fffffffff,5.0,0.0,0.0
836674fffffffff,1.0,0.0,0.0
8366a0fffffffff,1.0,1.0,0.0
8366a5fffffffff,3.0,2.0,0.0
8366b0fffffffff,2.0,2.0,0.0
8366b4fffffffff,6.0,0.0,0.0
8366b5fffffffff,3.0,1.0,0.0
8366c2fffffffff,1.0,0.0,0.0
8366d5fffffffff,4.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0
836741fffffffff,6.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0
836743fffffffff,1.0,0.0,0.0
83674dfffffffff,2.0,0.0,0.0
836758fffffffff,5.0,0.0,0.0
83675afffffffff,3.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0
83679afffffffff,11.0,0.0,0.0
83679bfffffffff,157.0,0.0,0.0
836d68fffffffff,6.0,0.0,0.0
836d69fffffffff,177.0,0.0,0.0
836d6bfffffffff,21.0,0.0,0.0
838023fffffffff,1.0,0.0,0.0
838b22fffffffff,1.0,1.0,0.0
838b2afffffffff,3.0,0.0,0.0
838b61fffffffff,4.0,4.0,0.0
838b63fffffffff,2.0,2.0,0.0
838b71fffffffff,2.0,2.0,0.0
83a812fffffffff,2.0,0.0,2.0
83a814fffffffff,3.0,2.0,1.0
83a859fffffffff,3.0,0.0,0.0
83a8cafffffffff,1.0,0.0,0.0
83a946fffffffff,7.0,0.0,0.0
83a94dfffffffff,2.0,0.0,0.0
83a961fffffffff,21.0,0.0,0.0
83a96cfffffffff,13.0,0.0,0.0
83b25cfffffffff,7.0,0.0,0.0
83b269fffffffff,2.0,0.0,0.0
83b26bfffffffff,6.0,0.0,0.0
83b26dfffffffff,2.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0
83b342fffffffff,2.0,0.0,0.0
83b343fffffffff,2.0,0.0,0.0
83b349fffffffff,4.0,0.0,0.0
83b34cfffffffff,3.0,0.0,0.0
83b34dfffffffff,8.0,0.0,0.0
83b35afffffffff,2.0,0.0,0.0
83c2c9fffffffff,2.0,0.0,0.0
83c2cbfffffffff,3.0,0.0,0.0
83c2cdfffffffff,16.0,0.0,0.0
83c2d6fffffffff,2.0,0.0,0.0
83c2e3fffffffff,10.0,0.0,0.0
83c2f2fffffffff,1.0,0.0,0.0
83c2f3fffffffff,1.0,0.0,0.0
