cell_id,Illadopsis fulvescens,Illadopsis fulvescens moloneyana/iboensis,Illadopsis fulvescens [fulvescens Group]
8454cc3ffffffff,1.0,0.0,0.0
8454f47ffffffff,5.0,0.0,3.0
8458833ffffffff,1.0,0.0,0.0
845890bffffffff,8.0,0.0,0.0
8458951ffffffff,2.0,0.0,0.0
8458969ffffffff,17.0,0.0,0.0
8458b27ffffffff,1.0,0.0,0.0
8458c8bffffffff,1.0,0.0,0.0
8458d23ffffffff,7.0,0.0,0.0
8458d33ffffffff,23.0,0.0,0.0
8458de5ffffffff,4.0,0.0,0.0
846a91bffffffff,1.0,0.0,0.0
846a9e7ffffffff,2.0,0.0,0.0
846a9edffffffff,6.0,0.0,0.0
846ac03ffffffff,26.0,0.0,4.0
846ac0bffffffff,25.0,0.0,4.0
846ac15ffffffff,210.0,0.0,41.0
846ac1dffffffff,5.0,0.0,0.0
846ac31ffffffff,1.0,0.0,0.0
846ac39ffffffff,1.0,0.0,0.0
846ac3dffffffff,2.0,0.0,0.0
846ac89ffffffff,4.0,0.0,2.0
846acadffffffff,1.0,0.0,0.0
846acc7ffffffff,1.0,0.0,0.0
846acd5ffffffff,26.0,0.0,3.0
846adc1ffffffff,20.0,0.0,7.0
846adc5ffffffff,19.0,0.0,0.0
846adc9ffffffff,12.0,0.0,0.0
846aea1ffffffff,73.0,0.0,7.0
846aeabffffffff,2.0,0.0,0.0
846aedbffffffff,1.0,0.0,0.0
8475011ffffffff,1.0,0.0,0.0
847501bffffffff,1.0,0.0,0.0
8475085ffffffff,7.0,0.0,0.0
8475087ffffffff,3.0,0.0,0.0
84750c5ffffffff,2.0,0.0,0.0
84750d1ffffffff,72.0,0.0,0.0
84750d9ffffffff,4.0,0.0,0.0
84750ddffffffff,2.0,0.0,0.0
8475201ffffffff,2.0,0.0,0.0
8475295ffffffff,39.0,0.0,0.0
84752a1ffffffff,1.0,0.0,0.0
84752abffffffff,10.0,0.0,0.0
84752b3ffffffff,1.0,0.0,0.0
84752b5ffffffff,2.0,0.0,0.0
84752d3ffffffff,10.0,0.0,0.0
84752dbffffffff,5.0,0.0,0.0
84752e9ffffffff,2.0,0.0,0.0
8475765ffffffff,1.0,0.0,0.0
847581bffffffff,1.0,0.0,0.0
8475861ffffffff,2.0,0.0,0.0
8475863ffffffff,1.0,0.0,0.0
8475865ffffffff,1.0,0.0,0.0
8475a07ffffffff,7.0,0.0,0.0
8475a83ffffffff,3.0,0.0,0.0
8475b01ffffffff,1.0,0.0,0.0
8475b07ffffffff,4.0,0.0,0.0
847a4cbffffffff,14.0,0.0,0.0
847a4ddffffffff,43.0,0.0,0.0
8482125ffffffff,13.0,0.0,0.0
848284dffffffff,3.0,0.0,0.0
848289bffffffff,1.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0
84828d1ffffffff,148.0,0.0,0.0
848290bffffffff,7.0,0.0,0.0
8482953ffffffff,1.0,0.0,0.0
8482a37ffffffff,3.0,0.0,0.0
8482a81ffffffff,2.0,0.0,0.0
8482aadffffffff,5.0,0.0,0.0
8482ab7ffffffff,9.0,0.0,0.0
8482d27ffffffff,2.0,0.0,0.0
8482d4dffffffff,3.0,0.0,0.0
8483125ffffffff,7.0,0.0,0.0
848313dffffffff,2.0,0.0,0.0
8483151ffffffff,11.0,0.0,4.0
8483921ffffffff,1.0,0.0,0.0
8483a89ffffffff,3.0,0.0,2.0
8483ac3ffffffff,2.0,0.0,0.0
