cell_id,Leptotila plumbeiceps,Leptotila plumbeiceps plumbeiceps/notia,Leptotila plumbeiceps battyi/malae
8445225ffffffff,1.0,1.0,0.0
8445233ffffffff,4.0,0.0,0.0
8445281ffffffff,5.0,5.0,0.0
84452a9ffffffff,2.0,0.0,0.0
84452e5ffffffff,2.0,2.0,0.0
84452ebffffffff,3.0,2.0,0.0
8449987ffffffff,1.0,1.0,0.0
8466849ffffffff,1.0,0.0,1.0
8466a33ffffffff,23.0,0.0,17.0
8466f1dffffffff,5.0,0.0,0.0
8466f57ffffffff,35.0,0.0,0.0
846d303ffffffff,2.0,0.0,0.0
846d30dffffffff,2.0,0.0,0.0
846d315ffffffff,1.0,0.0,0.0
846d319ffffffff,2.0,1.0,0.0
846d34bffffffff,2.0,2.0,0.0
846d35dffffffff,3.0,0.0,0.0
846d369ffffffff,2.0,0.0,0.0
846d617ffffffff,6.0,0.0,0.0
846d683ffffffff,2.0,2.0,0.0
846d685ffffffff,2.0,0.0,0.0
846d68bffffffff,15.0,10.0,0.0
846d691ffffffff,4.0,0.0,0.0
846d69dffffffff,1.0,0.0,0.0
846d6bbffffffff,24.0,0.0,0.0
846d6bdffffffff,2.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
846d6d7ffffffff,2.0,2.0,0.0
846d6e9ffffffff,3.0,0.0,0.0
846d6ebffffffff,1.0,0.0,0.0
