cell_id,Anthoscopus caroli,Anthoscopus caroli [ansorgei Group],Anthoscopus caroli sylviella/sharpei,Anthoscopus caroli roccatii,Anthoscopus caroli rankinei,Anthoscopus caroli [caroli Group]
836a5afffffffff,3.0,0.0,0.0,3.0,0.0,0.0
836aeefffffffff,4.0,0.0,0.0,0.0,0.0,0.0
837a48fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
837a60fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837a63fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
837a6afffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837a6dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837a6efffffffff,5.0,0.0,0.0,0.0,0.0,0.0
839719fffffffff,2.0,0.0,0.0,0.0,0.0,1.0
83971cfffffffff,1.0,0.0,0.0,0.0,0.0,1.0
83bc99fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
83bcdcfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
