cell_id,Pteruthius xanthochlorus,Pteruthius xanthochlorus xanthochlorus/occidentalis,Pteruthius xanthochlorus pallidus/hybrida
83209afffffffff,1.0,0.0,0.0
83309afffffffff,5.0,0.0,0.0
833c00fffffffff,8.0,0.0,0.0
833c02fffffffff,56.0,0.0,0.0
833c03fffffffff,3.0,0.0,0.0
833c06fffffffff,7.0,0.0,0.0
833c0afffffffff,178.0,2.0,0.0
833c0bfffffffff,120.0,12.0,0.0
833c0efffffffff,6.0,0.0,0.0
833c19fffffffff,4.0,0.0,0.0
833c1dfffffffff,63.0,0.0,0.0
833c31fffffffff,9.0,0.0,0.0
833c34fffffffff,4.0,0.0,0.0
833c43fffffffff,7.0,1.0,0.0
833c52fffffffff,383.0,0.0,0.0
833c56fffffffff,3.0,0.0,0.0
833c58fffffffff,110.0,0.0,0.0
833c59fffffffff,15.0,0.0,0.0
833c5cfffffffff,3.0,0.0,0.0
833c5dfffffffff,8.0,0.0,0.0
833cc3fffffffff,15.0,0.0,0.0
833cd8fffffffff,59.0,0.0,14.0
833cd9fffffffff,2.0,0.0,2.0
833cddfffffffff,5.0,0.0,0.0
833ce5fffffffff,63.0,8.0,0.0
833ce8fffffffff,11.0,0.0,0.0
833ce9fffffffff,2.0,0.0,0.0
833cebfffffffff,10.0,0.0,0.0
833d10fffffffff,10.0,0.0,0.0
833d11fffffffff,11.0,0.0,0.0
833d13fffffffff,5.0,0.0,0.0
833d1afffffffff,38.0,0.0,0.0
833d1efffffffff,189.0,0.0,0.0
833dadfffffffff,75.0,0.0,0.0
83400afffffffff,1.0,0.0,0.0
834043fffffffff,18.0,0.0,2.0
834044fffffffff,3.0,0.0,0.0
834045fffffffff,1.0,0.0,0.0
83404cfffffffff,9.0,0.0,2.0
83404dfffffffff,7.0,0.0,0.0
83404efffffffff,4.0,0.0,0.0
834058fffffffff,2.0,0.0,0.0
834059fffffffff,2.0,0.0,0.0
83405cfffffffff,5.0,0.0,1.0
83405dfffffffff,3.0,0.0,1.0
834061fffffffff,1.0,0.0,0.0
834089fffffffff,7.0,0.0,0.0
83408dfffffffff,2.0,0.0,0.0
8340c4fffffffff,2.0,0.0,0.0
8340c5fffffffff,4.0,0.0,0.0
8340c6fffffffff,37.0,0.0,0.0
8340e1fffffffff,40.0,0.0,0.0
8340ecfffffffff,3.0,0.0,0.0
8340eefffffffff,13.0,0.0,0.0
834184fffffffff,2.0,0.0,0.0
83419dfffffffff,1.0,0.0,0.0
8341b2fffffffff,1.0,0.0,0.0
8341b3fffffffff,5.0,0.0,0.0
836934fffffffff,3.0,0.0,1.0
