cell_id,Hydrobates castro,Hydrobates castro castro,Hydrobates castro [undescribed form],Hydrobates castro bangsi
84464b9ffffffff,2.0,0.0,0.0,0.0
84464e1ffffffff,1.0,0.0,0.0,0.0
84464e5ffffffff,11.0,0.0,0.0,0.0
84465d9ffffffff,1.0,0.0,0.0,0.0
8448901ffffffff,6.0,0.0,0.0,0.0
8448907ffffffff,2.0,0.0,0.0,0.0
8448945ffffffff,27.0,0.0,0.0,0.0
8448947ffffffff,14.0,0.0,0.0,0.0
8448955ffffffff,5.0,0.0,0.0,0.0
8448961ffffffff,26.0,0.0,0.0,0.0
8448969ffffffff,13.0,0.0,0.0,0.0
844896bffffffff,84.0,0.0,0.0,0.0
8448b21ffffffff,1.0,0.0,0.0,0.0
8448b23ffffffff,2.0,0.0,0.0,0.0
8448b25ffffffff,3.0,0.0,0.0,0.0
8448b27ffffffff,17.0,0.0,0.0,0.0
8449953ffffffff,2.0,0.0,0.0,0.0
8455365ffffffff,1.0,1.0,0.0,0.0
8455a1bffffffff,1.0,0.0,0.0,0.0
845d101ffffffff,6.0,0.0,0.0,0.0
845d105ffffffff,29.0,0.0,0.0,0.0
845d107ffffffff,16.0,0.0,0.0,0.0
845d115ffffffff,10.0,0.0,0.0,0.0
845d11dffffffff,1.0,0.0,0.0,0.0
845d121ffffffff,6.0,0.0,0.0,0.0
845d129ffffffff,116.0,0.0,0.0,0.0
845d12bffffffff,155.0,0.0,0.0,0.0
845d139ffffffff,6.0,0.0,0.0,0.0
845d13dffffffff,5.0,0.0,0.0,0.0
845d16bffffffff,1.0,0.0,0.0,0.0
845fa13ffffffff,1.0,0.0,0.0,0.0
8466849ffffffff,1.0,0.0,0.0,0.0
84668e7ffffffff,2.0,0.0,0.0,0.0
846696dffffffff,3.0,0.0,0.0,0.0
84669bbffffffff,6.0,0.0,0.0,0.0
8466a35ffffffff,3.0,0.0,0.0,0.0
8466ae9ffffffff,1.0,0.0,0.0,0.0
8466d47ffffffff,3.0,0.0,0.0,0.0
846c593ffffffff,14.0,0.0,0.0,7.0
846c595ffffffff,5.0,0.0,0.0,2.0
846c597ffffffff,7.0,0.0,0.0,4.0
846c5a9ffffffff,13.0,0.0,0.0,13.0
846c5abffffffff,18.0,0.0,0.0,14.0
846c5b1ffffffff,1.0,0.0,0.0,1.0
846c5b3ffffffff,2.0,0.0,0.0,2.0
846c5b5ffffffff,2.0,0.0,0.0,0.0
846c5b7ffffffff,25.0,0.0,0.0,23.0
846c5b9ffffffff,2.0,0.0,0.0,0.0
846c5bbffffffff,2.0,0.0,0.0,0.0
846c5d7ffffffff,2.0,0.0,0.0,0.0
846c619ffffffff,9.0,0.0,0.0,0.0
846c651ffffffff,4.0,0.0,0.0,0.0
846c653ffffffff,3.0,0.0,0.0,0.0
846c657ffffffff,12.0,0.0,0.0,0.0
846c65bffffffff,2.0,0.0,0.0,2.0
846d349ffffffff,2.0,0.0,0.0,0.0
846d497ffffffff,2.0,0.0,0.0,0.0
846d4bbffffffff,4.0,0.0,0.0,0.0
846d6b3ffffffff,1.0,0.0,0.0,0.0
847d801ffffffff,1.0,0.0,0.0,0.0
847d80bffffffff,1.0,0.0,0.0,0.0
848f20dffffffff,1.0,0.0,0.0,0.0
848f2e7ffffffff,2.0,0.0,0.0,0.0
848fa6dffffffff,9.0,0.0,0.0,0.0
8498e67ffffffff,1.0,1.0,0.0,0.0
849e059ffffffff,1.0,0.0,0.0,0.0
84beaa5ffffffff,5.0,0.0,0.0,0.0
84beaa7ffffffff,3.0,0.0,0.0,0.0
84beab5ffffffff,1.0,0.0,0.0,0.0
84beae3ffffffff,6.0,0.0,0.0,0.0
84beae7ffffffff,1.0,0.0,0.0,0.0
