cell_id,Lamprotornis mevesii,Lamprotornis mevesii mevesii,Lamprotornis mevesii violacior,Lamprotornis mevesii benguelensis
838320fffffffff,10.0,0.0,0.0,0.0
839614fffffffff,68.0,5.0,0.0,0.0
839616fffffffff,1.0,0.0,0.0,0.0
839620fffffffff,127.0,19.0,0.0,0.0
839621fffffffff,37.0,17.0,0.0,0.0
839622fffffffff,23.0,2.0,0.0,0.0
839623fffffffff,50.0,9.0,0.0,0.0
839625fffffffff,4.0,0.0,0.0,0.0
839626fffffffff,43.0,0.0,0.0,0.0
839628fffffffff,2.0,0.0,0.0,0.0
839629fffffffff,3.0,0.0,0.0,0.0
83962cfffffffff,10.0,0.0,0.0,0.0
83962dfffffffff,27.0,12.0,0.0,0.0
839631fffffffff,2.0,0.0,0.0,0.0
839633fffffffff,248.0,66.0,0.0,0.0
839700fffffffff,4.0,0.0,0.0,0.0
839701fffffffff,35.0,0.0,0.0,0.0
839703fffffffff,3.0,0.0,0.0,0.0
839705fffffffff,42.0,1.0,0.0,0.0
83971cfffffffff,4.0,0.0,0.0,0.0
839728fffffffff,52.0,20.0,0.0,0.0
839729fffffffff,88.0,28.0,0.0,0.0
83972afffffffff,5.0,1.0,0.0,0.0
83972cfffffffff,8.0,3.0,0.0,0.0
83972efffffffff,390.0,105.0,0.0,0.0
839740fffffffff,14.0,0.0,0.0,0.0
839741fffffffff,255.0,31.0,0.0,0.0
839743fffffffff,482.0,28.0,0.0,0.0
839744fffffffff,4.0,0.0,0.0,0.0
839748fffffffff,4.0,0.0,0.0,0.0
83974afffffffff,655.0,107.0,0.0,0.0
83974bfffffffff,6.0,1.0,0.0,0.0
83974cfffffffff,2.0,0.0,0.0,0.0
83974efffffffff,132.0,18.0,0.0,0.0
839750fffffffff,38.0,6.0,0.0,0.0
839751fffffffff,267.0,28.0,0.0,0.0
839752fffffffff,4.0,0.0,0.0,0.0
839753fffffffff,8.0,2.0,0.0,0.0
839754fffffffff,4.0,0.0,0.0,0.0
839755fffffffff,37.0,1.0,0.0,0.0
83975cfffffffff,45.0,2.0,0.0,0.0
83975dfffffffff,36.0,2.0,0.0,0.0
83975efffffffff,78.0,7.0,0.0,0.0
839770fffffffff,3.0,0.0,0.0,0.0
839771fffffffff,1.0,0.0,0.0,0.0
839772fffffffff,10.0,0.0,0.0,0.0
839774fffffffff,4.0,0.0,0.0,0.0
8397a8fffffffff,9.0,0.0,0.0,0.0
8397aafffffffff,99.0,11.0,0.0,0.0
8397abfffffffff,3.0,0.0,0.0,0.0
83ac81fffffffff,94.0,0.0,0.0,0.0
83ac85fffffffff,1.0,0.0,0.0,0.0
83ac88fffffffff,5.0,0.0,0.0,0.0
83ac8afffffffff,96.0,0.0,0.0,0.0
83ac8efffffffff,18.0,0.0,0.0,0.0
83ac96fffffffff,10.0,2.0,0.0,0.0
83ac99fffffffff,2.0,0.0,0.0,0.0
83ac9dfffffffff,5.0,0.0,0.0,0.0
83bcd2fffffffff,5.0,0.0,0.0,0.0
83bcdafffffffff,11.0,0.0,0.0,0.0
83bcdbfffffffff,2.0,0.0,0.0,0.0
83bcdcfffffffff,6.0,0.0,0.0,0.0
