cell_id,Turdus assimilis,Turdus assimilis [assimilis Group],Turdus assimilis daguae
8445201ffffffff,8.0,0.0,0.0
8445203ffffffff,17.0,0.0,0.0
8445205ffffffff,25.0,0.0,0.0
8445207ffffffff,4.0,0.0,0.0
844520bffffffff,38.0,0.0,0.0
844520dffffffff,14.0,0.0,0.0
8445211ffffffff,3.0,0.0,0.0
8445215ffffffff,43.0,0.0,0.0
8445217ffffffff,16.0,0.0,0.0
844521dffffffff,47.0,0.0,0.0
8445221ffffffff,2.0,0.0,0.0
8445225ffffffff,207.0,0.0,0.0
844522dffffffff,3.0,0.0,0.0
8445233ffffffff,59.0,4.0,0.0
844523bffffffff,1.0,0.0,0.0
8445245ffffffff,3.0,0.0,0.0
844524bffffffff,5.0,0.0,0.0
8445253ffffffff,1.0,0.0,0.0
8445255ffffffff,3.0,0.0,0.0
8445257ffffffff,35.0,0.0,0.0
8445263ffffffff,97.0,0.0,0.0
8445289ffffffff,45.0,0.0,0.0
84452a9ffffffff,66.0,0.0,0.0
84452c3ffffffff,13.0,0.0,0.0
84452c5ffffffff,36.0,0.0,0.0
84452c7ffffffff,10.0,0.0,0.0
84452c9ffffffff,9.0,0.0,0.0
84452d5ffffffff,4.0,0.0,0.0
84452e1ffffffff,172.0,9.0,0.0
84452e3ffffffff,122.0,3.0,0.0
84452e5ffffffff,240.0,0.0,0.0
84452e9ffffffff,24.0,5.0,0.0
84452ebffffffff,35.0,0.0,0.0
84452edffffffff,58.0,0.0,0.0
8445305ffffffff,6.0,0.0,0.0
8445309ffffffff,2.0,0.0,0.0
8445343ffffffff,5.0,0.0,0.0
8445351ffffffff,56.0,0.0,0.0
8445649ffffffff,7.0,0.0,0.0
844802bffffffff,5.0,0.0,0.0
844803bffffffff,4.0,0.0,0.0
84480adffffffff,139.0,0.0,0.0
844814dffffffff,2.0,0.0,0.0
844815bffffffff,5.0,0.0,0.0
8448193ffffffff,1.0,0.0,0.0
8448199ffffffff,5.0,0.0,0.0
84481d5ffffffff,2.0,0.0,0.0
84481d7ffffffff,14.0,0.0,0.0
84481d9ffffffff,1.0,0.0,0.0
84481dbffffffff,1.0,0.0,0.0
8448309ffffffff,1.0,0.0,0.0
8448329ffffffff,2.0,0.0,0.0
8448331ffffffff,7.0,0.0,0.0
8448333ffffffff,1.0,0.0,0.0
8448337ffffffff,375.0,11.0,0.0
844833bffffffff,2.0,0.0,0.0
8448361ffffffff,1224.0,68.0,0.0
8448363ffffffff,15.0,0.0,0.0
8448365ffffffff,75.0,0.0,0.0
8448367ffffffff,68.0,0.0,0.0
8448369ffffffff,77.0,0.0,0.0
844836dffffffff,312.0,2.0,0.0
8448e4dffffffff,46.0,0.0,0.0
8449801ffffffff,112.0,0.0,0.0
8449809ffffffff,48.0,0.0,0.0
844980bffffffff,4.0,0.0,0.0
844980dffffffff,18.0,0.0,0.0
8449843ffffffff,5.0,0.0,0.0
8449851ffffffff,7.0,3.0,0.0
8449853ffffffff,5.0,0.0,0.0
8449855ffffffff,37.0,6.0,0.0
8449857ffffffff,8.0,0.0,0.0
8449861ffffffff,200.0,17.0,0.0
8449863ffffffff,39.0,0.0,0.0
8449865ffffffff,197.0,18.0,0.0
844986dffffffff,37.0,0.0,0.0
84498c9ffffffff,26.0,0.0,0.0
84498d3ffffffff,1.0,0.0,0.0
84498d9ffffffff,1.0,0.0,0.0
84498dbffffffff,3.0,0.0,0.0
8449901ffffffff,8.0,0.0,0.0
8449903ffffffff,1.0,0.0,0.0
8449905ffffffff,5.0,0.0,0.0
8449909ffffffff,1.0,0.0,0.0
844990bffffffff,6.0,0.0,0.0
844990dffffffff,4.0,0.0,0.0
8449911ffffffff,2.0,0.0,0.0
8449913ffffffff,28.0,0.0,0.0
8449917ffffffff,20.0,0.0,0.0
844991dffffffff,11.0,0.0,0.0
8449943ffffffff,1.0,0.0,0.0
8449951ffffffff,7.0,0.0,0.0
8449959ffffffff,639.0,26.0,0.0
844995bffffffff,69.0,7.0,0.0
844995dffffffff,41.0,7.0,0.0
8449961ffffffff,48.0,16.0,0.0
8449963ffffffff,78.0,20.0,0.0
8449969ffffffff,62.0,0.0,0.0
844996bffffffff,10.0,0.0,0.0
8449981ffffffff,14.0,0.0,0.0
8449987ffffffff,219.0,0.0,0.0
84499b1ffffffff,4.0,0.0,0.0
84499bdffffffff,4.0,0.0,0.0
84499c5ffffffff,41.0,0.0,0.0
84499c7ffffffff,5.0,0.0,0.0
8449a81ffffffff,135.0,0.0,0.0
8449a83ffffffff,37.0,0.0,0.0
8449a85ffffffff,538.0,20.0,0.0
8449a89ffffffff,9.0,2.0,0.0
8449a8bffffffff,12.0,0.0,0.0
8449a8dffffffff,12.0,0.0,0.0
8449a91ffffffff,526.0,29.0,0.0
8449a93ffffffff,500.0,14.0,0.0
8449a95ffffffff,3.0,0.0,0.0
8449a97ffffffff,62.0,2.0,0.0
8449aa1ffffffff,24.0,2.0,0.0
8449aa3ffffffff,7.0,0.0,0.0
8449aa9ffffffff,21.0,2.0,0.0
8449aabffffffff,9.0,0.0,0.0
8449ab1ffffffff,80.0,1.0,0.0
8449ab3ffffffff,6.0,0.0,0.0
8449ab5ffffffff,36.0,0.0,0.0
8449ab9ffffffff,2.0,0.0,0.0
8449abbffffffff,8.0,0.0,0.0
8449ad7ffffffff,4.0,0.0,0.0
8449ae3ffffffff,8.0,0.0,0.0
8449b03ffffffff,2.0,0.0,0.0
8449b0bffffffff,2.0,0.0,0.0
8449b19ffffffff,82.0,0.0,0.0
8449b1dffffffff,30.0,0.0,0.0
8449b33ffffffff,146.0,0.0,0.0
8449b37ffffffff,31.0,9.0,0.0
8449b3bffffffff,4.0,0.0,0.0
8449b53ffffffff,11.0,0.0,0.0
8449b57ffffffff,88.0,0.0,0.0
8449b65ffffffff,5.0,0.0,0.0
8449b67ffffffff,26.0,0.0,0.0
8466129ffffffff,3.0,0.0,0.0
8466131ffffffff,14.0,0.0,2.0
8466139ffffffff,1.0,0.0,0.0
84661a5ffffffff,1.0,0.0,0.0
84661adffffffff,5.0,0.0,0.0
84661ebffffffff,6.0,0.0,0.0
8466841ffffffff,2.0,0.0,0.0
8466849ffffffff,68.0,3.0,0.0
8466a01ffffffff,8.0,0.0,0.0
8466a05ffffffff,8.0,0.0,0.0
8466a0bffffffff,49.0,0.0,0.0
8466a27ffffffff,18.0,0.0,0.0
8466a29ffffffff,7.0,0.0,0.0
8466a2dffffffff,92.0,0.0,0.0
8466a31ffffffff,2.0,0.0,0.0
8466a33ffffffff,58.0,15.0,0.0
8466a51ffffffff,9.0,2.0,0.0
8466a57ffffffff,177.0,10.0,0.0
8466a5dffffffff,2.0,0.0,0.0
8466b01ffffffff,48.0,0.0,0.0
8466b09ffffffff,31.0,0.0,0.0
8466b0bffffffff,106.0,0.0,0.0
