cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
831253fffffffff,66.0,0.0,0.0,0.0,0.0,0.0
831254fffffffff,93.0,0.0,0.0,0.0,0.0,0.0
831255fffffffff,42.0,0.0,0.0,0.0,0.0,0.0
831256fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
831258fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
831259fffffffff,513.0,0.0,0.0,0.0,0.0,0.0
83125afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83125bfffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83125cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83125dfffffffff,138.0,0.0,0.0,0.0,0.0,0.0
83125efffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83126afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83126bfffffffff,12.0,0.0,0.0,0.0,0.0,0.0
83126efffffffff,28.0,0.0,0.0,0.0,0.0,0.0
831272fffffffff,512.0,0.0,0.0,0.0,0.0,0.0
831275fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831280fffffffff,112.0,0.0,0.0,0.0,0.0,0.0
831282fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
831283fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831284fffffffff,177.0,0.0,2.0,0.0,0.0,0.0
831285fffffffff,57.0,0.0,0.0,0.0,0.0,0.0
831286fffffffff,41.0,0.0,0.0,0.0,0.0,0.0
831288fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
831289fffffffff,124.0,0.0,0.0,0.0,0.0,0.0
83128bfffffffff,927.0,0.0,0.0,0.0,0.0,0.0
83128cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83128dfffffffff,260.0,0.0,0.0,0.0,0.0,0.0
83128efffffffff,11.0,0.0,0.0,0.0,0.0,0.0
831290fffffffff,55.0,0.0,2.0,0.0,0.0,0.0
831293fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
831294fffffffff,61.0,0.0,0.0,0.0,0.0,0.0
831298fffffffff,48.0,0.0,0.0,0.0,0.0,0.0
831299fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
83129afffffffff,8.0,0.0,2.0,0.0,0.0,0.0
83129bfffffffff,64.0,0.0,11.0,0.0,0.0,0.0
83129cfffffffff,7.0,0.0,1.0,0.0,0.0,0.0
83129dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8312a2fffffffff,43.0,0.0,0.0,0.0,0.0,0.0
8312a3fffffffff,61.0,0.0,0.0,0.0,0.0,0.0
8312a8fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8312a9fffffffff,52.0,0.0,0.0,0.0,0.0,0.0
8312aafffffffff,35.0,0.0,0.0,0.0,0.0,0.0
8312abfffffffff,416.0,0.0,0.0,0.0,0.0,0.0
8312adfffffffff,70.0,0.0,0.0,0.0,0.0,0.0
8312b0fffffffff,193.0,0.0,0.0,0.0,0.0,0.0
8312b1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8312b2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312b4fffffffff,68.0,0.0,0.0,0.0,0.0,0.0
8312b5fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
8312b6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8312c0fffffffff,101.0,0.0,0.0,0.0,0.0,0.0
8312c1fffffffff,715.0,0.0,0.0,0.0,0.0,0.0
8312c2fffffffff,84.0,0.0,0.0,2.0,0.0,0.0
8312c3fffffffff,144.0,0.0,0.0,0.0,0.0,0.0
8312c5fffffffff,33.0,0.0,0.0,0.0,0.0,0.0
8312c8fffffffff,292.0,0.0,0.0,0.0,0.0,0.0
