cell_id,Sphyrapicus ruber,Sphyrapicus ruber ruber,Sphyrapicus ruber daggetti
820c47fffffffff,23.0,1.0,0.0
820c57fffffffff,2.0,0.0,0.0
820c5ffffffffff,19.0,0.0,0.0
820c77fffffffff,3.0,0.0,0.0
82128ffffffffff,21.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0
8212b7fffffffff,26.0,0.0,0.0
8212d7fffffffff,11.0,0.0,0.0
8212dffffffffff,2.0,0.0,0.0
8212f7fffffffff,11.0,0.0,0.0
821387fffffffff,7.0,0.0,0.0
82138ffffffffff,4.0,0.0,0.0
821397fffffffff,10.0,0.0,0.0
82139ffffffffff,4.0,0.0,0.0
8213b7fffffffff,6.0,0.0,0.0
821d27fffffffff,3.0,0.0,0.0
82268ffffffffff,120.0,38.0,0.0
822697fffffffff,8.0,0.0,0.0
82269ffffffffff,6.0,0.0,0.0
822817fffffffff,49.0,1.0,10.0
82281ffffffffff,63.0,32.0,2.0
822837fffffffff,677.0,29.0,61.0
822887fffffffff,54.0,1.0,12.0
82288ffffffffff,47.0,1.0,0.0
8228affffffffff,37.0,0.0,4.0
8228b7fffffffff,5.0,0.0,0.0
8228d7fffffffff,71.0,8.0,0.0
8228dffffffffff,2.0,0.0,0.0
8228f7fffffffff,87.0,5.0,1.0
822917fffffffff,20.0,3.0,0.0
82291ffffffffff,6.0,0.0,0.0
822987fffffffff,17.0,3.0,0.0
82298ffffffffff,18.0,0.0,4.0
822997fffffffff,19.0,0.0,2.0
8229a7fffffffff,128.0,8.0,9.0
8229affffffffff,86.0,0.0,2.0
8229b7fffffffff,63.0,0.0,7.0
82482ffffffffff,1.0,0.0,0.0
824847fffffffff,14.0,0.0,0.0
82484ffffffffff,3.0,0.0,0.0
824857fffffffff,3.0,0.0,0.0
82485ffffffffff,51.0,0.0,0.0
8248c7fffffffff,13.0,0.0,2.0
8248cffffffffff,10.0,0.0,0.0
8248e7fffffffff,5.0,0.0,0.0
8248effffffffff,206.0,0.0,2.0
8248f7fffffffff,1.0,0.0,0.0
