cell_id,Melanerpes formicivorus,Melanerpes formicivorus [formicivorus Group],Melanerpes formicivorus angustifrons
8412d37ffffffff,2.0,0.0,0.0
8412d65ffffffff,2.0,0.0,0.0
84261c9ffffffff,2.0,0.0,0.0
8426813ffffffff,2.0,0.0,0.0
8426853ffffffff,7.0,0.0,0.0
8426885ffffffff,87.0,0.0,0.0
842688dffffffff,2.0,0.0,0.0
84268a3ffffffff,2.0,0.0,0.0
84268bbffffffff,2.0,0.0,0.0
84268c5ffffffff,5.0,3.0,0.0
84268c7ffffffff,47.0,2.0,0.0
842696bffffffff,96.0,2.0,0.0
8426995ffffffff,110.0,2.0,0.0
84269a9ffffffff,14.0,0.0,0.0
8426b65ffffffff,2.0,0.0,0.0
8426c3bffffffff,1.0,0.0,0.0
8426d8dffffffff,3.0,0.0,0.0
8426dc3ffffffff,2.0,0.0,0.0
8427561ffffffff,18.0,0.0,0.0
842756dffffffff,20.0,2.0,0.0
8427a8bffffffff,2.0,0.0,0.0
8428021ffffffff,2.0,2.0,0.0
8428023ffffffff,1.0,0.0,0.0
842802bffffffff,2.0,0.0,0.0
8428069ffffffff,1.0,0.0,0.0
8428103ffffffff,3.0,0.0,0.0
8428141ffffffff,3.0,0.0,0.0
8428151ffffffff,4.0,0.0,0.0
8428157ffffffff,2.0,0.0,0.0
8428181ffffffff,4.0,0.0,0.0
8428187ffffffff,8.0,0.0,0.0
8428189ffffffff,2.0,0.0,0.0
84281c3ffffffff,2.0,0.0,0.0
84281c7ffffffff,2.0,0.0,0.0
84281d5ffffffff,2.0,0.0,0.0
84281e9ffffffff,17.0,0.0,0.0
84281ebffffffff,96.0,0.0,0.0
84281edffffffff,177.0,3.0,0.0
8428301ffffffff,11.0,0.0,0.0
8428303ffffffff,14.0,0.0,0.0
8428305ffffffff,3.0,0.0,0.0
8428307ffffffff,90.0,0.0,0.0
8428309ffffffff,199.0,19.0,0.0
842830bffffffff,4.0,0.0,0.0
8428315ffffffff,3.0,0.0,0.0
8428317ffffffff,2.0,2.0,0.0
8428321ffffffff,3.0,0.0,0.0
8428323ffffffff,3.0,0.0,0.0
8428329ffffffff,23.0,0.0,0.0
842832bffffffff,8.0,0.0,0.0
8428339ffffffff,4.0,0.0,0.0
8428341ffffffff,4.0,1.0,0.0
8428343ffffffff,45.0,0.0,0.0
8428347ffffffff,6.0,0.0,0.0
842834dffffffff,9.0,5.0,0.0
8428355ffffffff,18.0,0.0,0.0
8428357ffffffff,13.0,0.0,0.0
8428361ffffffff,331.0,0.0,0.0
8428363ffffffff,1709.0,0.0,0.0
8428367ffffffff,915.0,0.0,0.0
842836bffffffff,127.0,5.0,0.0
8428839ffffffff,9.0,0.0,0.0
84288c7ffffffff,1.0,1.0,0.0
84288d3ffffffff,2.0,0.0,0.0
8428a91ffffffff,13.0,0.0,0.0
8428a93ffffffff,2.0,0.0,0.0
8428ae9ffffffff,2.0,0.0,0.0
8428d03ffffffff,2.0,0.0,0.0
8428d0bffffffff,25.0,0.0,0.0
8428d19ffffffff,1.0,0.0,0.0
8428d1bffffffff,20.0,0.0,0.0
8428d3bffffffff,7.0,2.0,0.0
8428d51ffffffff,1.0,0.0,0.0
8428d55ffffffff,16.0,0.0,0.0
8428d5dffffffff,82.0,0.0,0.0
8428d69ffffffff,27.0,0.0,0.0
8428d6bffffffff,3.0,0.0,0.0
8428de9ffffffff,32.0,0.0,0.0
8428f01ffffffff,143.0,0.0,0.0
8428f03ffffffff,11.0,0.0,0.0
8428f07ffffffff,2.0,0.0,0.0
8428f09ffffffff,2.0,0.0,0.0
8428f1dffffffff,4.0,0.0,0.0
8428f25ffffffff,39.0,0.0,0.0
8428f29ffffffff,24.0,0.0,0.0
8428f2dffffffff,2.0,0.0,0.0
8428f37ffffffff,13.0,0.0,0.0
8428f51ffffffff,2.0,0.0,0.0
8428f59ffffffff,2.0,0.0,0.0
8428f5dffffffff,16.0,0.0,0.0
8428f61ffffffff,3.0,0.0,0.0
8428f67ffffffff,6.0,0.0,0.0
8429127ffffffff,18.0,8.0,0.0
842912dffffffff,2.0,0.0,0.0
8429135ffffffff,7.0,2.0,0.0
8429167ffffffff,2.0,0.0,0.0
84291a5ffffffff,2.0,2.0,0.0
84291a7ffffffff,18.0,4.0,0.0
8429841ffffffff,4.0,0.0,0.0
