cell_id,Zimmerius chrysops,Zimmerius chrysops minimus/cumanensis,Zimmerius chrysops chrysops
836608fffffffff,1.0,0.0,0.0
83660bfffffffff,6.0,0.0,0.0
836619fffffffff,11.0,0.0,1.0
83661bfffffffff,2.0,0.0,0.0
836620fffffffff,2.0,0.0,0.0
8366d0fffffffff,24.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0
8366defffffffff,4.0,0.0,2.0
8366e6fffffffff,37.0,0.0,1.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,4.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
83675afffffffff,2.0,0.0,0.0
83675efffffffff,9.0,0.0,0.0
838f73fffffffff,1.0,0.0,0.0
