cell_id,Cinclus leucocephalus,Cinclus leucocephalus rivularis,Cinclus leucocephalus leuconotus,Cinclus leucocephalus leucocephalus
836608fffffffff,63.0,0.0,0.0,0.0
836609fffffffff,11.0,0.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0,0.0
83660bfffffffff,65.0,0.0,0.0,0.0
83660cfffffffff,67.0,0.0,0.0,0.0
83660dfffffffff,32.0,0.0,0.0,0.0
836618fffffffff,176.0,0.0,7.0,0.0
836619fffffffff,450.0,0.0,0.0,0.0
83661bfffffffff,855.0,0.0,79.0,0.0
83661dfffffffff,50.0,0.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0,0.0
836620fffffffff,5.0,0.0,0.0,0.0
836621fffffffff,3.0,0.0,0.0,0.0
836623fffffffff,1.0,1.0,0.0,0.0
836629fffffffff,108.0,0.0,6.0,0.0
83662bfffffffff,12.0,0.0,0.0,0.0
83662efffffffff,9.0,0.0,0.0,0.0
836656fffffffff,2.0,0.0,0.0,0.0
8366c0fffffffff,61.0,0.0,0.0,0.0
8366c2fffffffff,146.0,0.0,0.0,0.0
8366c4fffffffff,80.0,0.0,0.0,0.0
8366c6fffffffff,268.0,0.0,2.0,0.0
8366d0fffffffff,278.0,0.0,15.0,0.0
8366d1fffffffff,28.0,0.0,0.0,0.0
8366d3fffffffff,1887.0,0.0,75.0,0.0
8366d5fffffffff,41.0,0.0,0.0,0.0
8366dafffffffff,44.0,0.0,0.0,0.0
8366defffffffff,1399.0,0.0,97.0,0.0
8366e0fffffffff,58.0,0.0,2.0,0.0
8366e2fffffffff,16.0,0.0,0.0,0.0
8366e3fffffffff,7.0,0.0,0.0,0.0
8366e4fffffffff,111.0,0.0,0.0,0.0
8366e5fffffffff,186.0,0.0,1.0,0.0
8366e6fffffffff,2290.0,0.0,190.0,0.0
8366f0fffffffff,157.0,0.0,7.0,0.0
8366f1fffffffff,555.0,0.0,19.0,0.0
8366f3fffffffff,3.0,0.0,0.0,0.0
8366f5fffffffff,190.0,0.0,4.0,0.0
83675afffffffff,50.0,0.0,4.0,0.0
838b21fffffffff,9.0,0.0,0.0,0.0
838b2cfffffffff,60.0,0.0,0.0,0.0
838b2dfffffffff,1.0,0.0,0.0,0.0
838b60fffffffff,4.0,0.0,0.0,0.0
838b61fffffffff,490.0,0.0,0.0,17.0
838b63fffffffff,1.0,0.0,0.0,0.0
838b66fffffffff,7.0,0.0,0.0,0.0
838b6cfffffffff,641.0,0.0,0.0,23.0
838e60fffffffff,29.0,0.0,0.0,0.0
838e61fffffffff,13.0,0.0,0.0,0.0
838e62fffffffff,13.0,0.0,0.0,0.0
838e63fffffffff,2.0,0.0,0.0,0.0
838e64fffffffff,86.0,0.0,0.0,0.0
838e65fffffffff,84.0,0.0,0.0,0.0
838e66fffffffff,174.0,0.0,0.0,0.0
838e69fffffffff,6.0,0.0,0.0,0.0
838e6cfffffffff,15.0,0.0,0.0,0.0
838e6dfffffffff,18.0,0.0,0.0,0.0
838e6efffffffff,2.0,0.0,0.0,0.0
838f0dfffffffff,11.0,0.0,0.0,0.0
838f29fffffffff,9.0,0.0,0.0,0.0
838f2bfffffffff,7.0,0.0,0.0,0.0
838f2cfffffffff,2.0,0.0,0.0,0.0
838f2dfffffffff,18.0,0.0,0.0,0.0
838f40fffffffff,2.0,0.0,0.0,0.0
838f42fffffffff,104.0,0.0,0.0,2.0
838f46fffffffff,140.0,0.0,0.0,10.0
838f4afffffffff,1.0,0.0,0.0,0.0
838f51fffffffff,12.0,0.0,0.0,0.0
838f54fffffffff,8.0,0.0,0.0,0.0
838f55fffffffff,62.0,0.0,0.0,0.0
838f58fffffffff,20.0,0.0,0.0,0.0
838f59fffffffff,30.0,0.0,0.0,0.0
838f5bfffffffff,3.0,0.0,0.0,0.0
838f5cfffffffff,9.0,0.0,0.0,0.0
838f5dfffffffff,12.0,0.0,0.0,0.0
838f72fffffffff,239.0,0.0,6.0,0.0
838f73fffffffff,34.0,0.0,0.0,0.0
838f74fffffffff,9.0,0.0,0.0,0.0
838f76fffffffff,75.0,0.0,0.0,0.0
83b321fffffffff,2.0,0.0,0.0,0.0
83b324fffffffff,50.0,0.0,0.0,0.0
83b325fffffffff,53.0,0.0,0.0,0.0
83b334fffffffff,8.0,0.0,0.0,0.0
83b335fffffffff,6.0,0.0,0.0,0.0
