cell_id,Larus dominicanus,Larus dominicanus dominicanus,Larus dominicanus austrinus,Larus dominicanus judithae,Larus dominicanus vetula,Larus dominicanus melisandae
825417fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82541ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
825437fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8254affffffffff,117.0,0.0,0.0,0.0,15.0,0.0
8254f7fffffffff,8.0,0.0,0.0,0.0,2.0,0.0
8255affffffffff,1.0,0.0,0.0,0.0,0.0,0.0
826627fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
826757fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
826c5ffffffffff,44.0,0.0,0.0,0.0,0.0,0.0
82800ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
828117fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82818ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828307fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
828317fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82831ffffffffff,11.0,0.0,0.0,0.0,3.0,0.0
828327fffffffff,5.0,0.0,0.0,0.0,3.0,0.0
82845ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
828e27fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
828e47fffffffff,790.0,0.0,0.0,0.0,0.0,0.0
828e4ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
828e67fffffffff,3777.0,0.0,0.0,0.0,0.0,0.0
828e6ffffffffff,65.0,0.0,0.0,0.0,0.0,0.0
828e77fffffffff,219.0,0.0,0.0,0.0,0.0,0.0
828f0ffffffffff,414.0,0.0,0.0,0.0,0.0,0.0
828f27fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,511.0,26.0,0.0,0.0,0.0,0.0
828f57fffffffff,1213.0,0.0,0.0,0.0,0.0,0.0
828f5ffffffffff,167.0,0.0,0.0,0.0,0.0,0.0
828fa7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82a207fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82a2a7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82a2affffffffff,43.0,0.0,0.0,0.0,0.0,0.0
82a39ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
82a817fffffffff,1982.0,75.0,0.0,0.0,0.0,0.0
82a837fffffffff,677.0,39.0,0.0,0.0,0.0,0.0
82a887fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82a897fffffffff,38.0,5.0,0.0,0.0,0.0,0.0
82a8a7fffffffff,1723.0,35.0,0.0,0.0,0.0,0.0
82a8b7fffffffff,38.0,1.0,0.0,0.0,0.0,0.0
82a907fffffffff,528.0,37.0,0.0,0.0,0.0,0.0
82a91ffffffffff,455.0,4.0,0.0,0.0,0.0,0.0
82a927fffffffff,88.0,6.0,0.0,0.0,0.0,0.0
82a92ffffffffff,122.0,10.0,0.0,0.0,0.0,0.0
82ac17fffffffff,768.0,0.0,0.0,0.0,162.0,0.0
82ac37fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
82aca7fffffffff,298.0,0.0,0.0,0.0,58.0,0.0
82acaffffffffff,36.0,0.0,0.0,0.0,19.0,0.0
82ad17fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82ad37fffffffff,4688.0,0.0,0.0,0.0,1278.0,0.0
82adaffffffffff,53.0,0.0,0.0,0.0,16.0,0.0
82b207fffffffff,903.0,0.0,0.0,0.0,0.0,0.0
82b21ffffffffff,4348.0,0.0,0.0,0.0,0.0,0.0
82b227fffffffff,748.0,0.0,0.0,0.0,0.0,0.0
82b2c7fffffffff,17610.0,449.0,0.0,0.0,0.0,0.0
82b2cffffffffff,171.0,0.0,0.0,0.0,0.0,0.0
82b2d7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b2dffffffffff,2654.0,0.0,0.0,0.0,0.0,0.0
82b2e7fffffffff,1711.0,8.0,0.0,0.0,0.0,0.0
82b2effffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82b307fffffffff,2008.0,0.0,0.0,0.0,0.0,0.0
82b31ffffffffff,209.0,0.0,0.0,0.0,0.0,0.0
82b337fffffffff,207.0,0.0,0.0,0.0,0.0,0.0
82b357fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82b917fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
82b937fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82ba27fffffffff,157.0,0.0,0.0,0.0,0.0,0.0
82bb0ffffffffff,2973.0,0.0,0.0,0.0,0.0,0.0
82bb2ffffffffff,13941.0,161.0,0.0,0.0,0.0,0.0
82bb37fffffffff,406.0,0.0,0.0,0.0,0.0,0.0
82bb57fffffffff,8452.0,181.0,0.0,0.0,0.0,0.0
82bb5ffffffffff,414.0,0.0,0.0,0.0,0.0,0.0
82bb77fffffffff,2250.0,0.0,0.0,0.0,0.0,0.0
82bc0ffffffffff,37.0,0.0,0.0,0.0,0.0,0.0
82bc1ffffffffff,52.0,0.0,0.0,0.0,12.0,0.0
82bc47fffffffff,364.0,0.0,0.0,0.0,30.0,0.0
82bc4ffffffffff,113.0,0.0,0.0,0.0,20.0,0.0
82bc6ffffffffff,1576.0,0.0,0.0,0.0,401.0,0.0
82bc77fffffffff,187.0,0.0,0.0,0.0,2.0,0.0
82bc8ffffffffff,41.0,0.0,0.0,0.0,0.0,0.0
82bcf7fffffffff,65.0,0.0,0.0,0.0,2.0,0.0
82be0ffffffffff,987.0,30.0,0.0,0.0,0.0,0.0
82be67fffffffff,423.0,27.0,0.0,0.0,0.0,0.0
82be6ffffffffff,628.0,30.0,0.0,0.0,0.0,0.0
82bf4ffffffffff,3822.0,709.0,0.0,0.0,0.0,0.0
82bf5ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82bf6ffffffffff,1729.0,350.0,0.0,0.0,0.0,0.0
82c207fffffffff,457.0,0.0,0.0,0.0,0.0,0.0
82c21ffffffffff,1440.0,1.0,0.0,0.0,0.0,0.0
82c227fffffffff,232.0,0.0,0.0,0.0,0.0,0.0
82c22ffffffffff,307.0,0.0,0.0,0.0,0.0,0.0
82c2c7fffffffff,125.0,0.0,0.0,0.0,0.0,0.0
82c2cffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82c2d7fffffffff,334.0,0.0,0.0,0.0,0.0,0.0
82c2e7fffffffff,1745.0,0.0,0.0,0.0,0.0,0.0
82c2effffffffff,60.0,0.0,0.0,0.0,0.0,0.0
82c2f7fffffffff,5953.0,22.0,0.0,0.0,0.0,0.0
82c307fffffffff,220.0,0.0,0.0,0.0,0.0,0.0
82c30ffffffffff,165.0,0.0,0.0,0.0,0.0,0.0
82c327fffffffff,1117.0,0.0,0.0,0.0,0.0,0.0
82c32ffffffffff,2233.0,0.0,0.0,0.0,0.0,0.0
82c337fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
82c347fffffffff,50.0,0.0,0.0,0.0,0.0,0.0
82c34ffffffffff,37.0,0.0,0.0,0.0,0.0,0.0
82c357fffffffff,191.0,0.0,0.0,0.0,0.0,0.0
82c35ffffffffff,34.0,0.0,0.0,0.0,0.0,0.0
