cell_id,Melanodera xanthogramma,Melanodera xanthogramma barrosi,Melanodera xanthogramma xanthogramma
84b2c51ffffffff,36.0,2.0,0.0
84b2c53ffffffff,21.0,0.0,0.0
84b2ca3ffffffff,2.0,0.0,0.0
84b2ca9ffffffff,24.0,0.0,0.0
84b2ce5ffffffff,1.0,0.0,0.0
84b2d93ffffffff,4.0,0.0,0.0
84ce809ffffffff,2.0,0.0,0.0
84ce80bffffffff,4.0,0.0,0.0
84ce811ffffffff,3.0,0.0,0.0
84ce817ffffffff,12.0,0.0,0.0
84ce819ffffffff,29.0,0.0,0.0
84ce833ffffffff,6.0,0.0,0.0
84ce837ffffffff,2.0,0.0,0.0
84ce839ffffffff,5.0,0.0,0.0
84ce83bffffffff,2.0,0.0,0.0
84ce853ffffffff,1.0,0.0,0.0
84ce855ffffffff,43.0,0.0,0.0
84ce857ffffffff,8.0,0.0,0.0
84ce85dffffffff,2.0,0.0,0.0
84ce8e5ffffffff,18.0,0.0,0.0
84ce8edffffffff,16.0,0.0,0.0
84ce995ffffffff,10.0,0.0,0.0
84ce9b7ffffffff,2.0,0.0,0.0
84ce9bbffffffff,2.0,0.0,0.0
84ce9c3ffffffff,26.0,0.0,0.0
84ce9c7ffffffff,2.0,0.0,0.0
84ce9d1ffffffff,13.0,0.0,0.0
84ce9d3ffffffff,16.0,0.0,0.0
84ce9d7ffffffff,1.0,0.0,0.0
84ce9dbffffffff,2.0,0.0,0.0
84cea03ffffffff,3.0,0.0,0.0
84cea37ffffffff,3.0,0.0,0.0
84cea3dffffffff,1.0,0.0,0.0
84ceaadffffffff,44.0,0.0,0.0
84cf121ffffffff,1.0,0.0,0.0
84cf123ffffffff,19.0,8.0,0.0
84cf127ffffffff,95.0,3.0,0.0
84cf12bffffffff,5.0,0.0,0.0
84cf12dffffffff,1.0,0.0,0.0
84cf13dffffffff,2.0,0.0,0.0
84cf16dffffffff,1.0,0.0,1.0
84cf81bffffffff,2.0,0.0,0.0
84cf881ffffffff,4.0,0.0,0.0
84cf883ffffffff,2.0,0.0,0.0
84cf88dffffffff,2.0,0.0,0.0
84cf8a3ffffffff,12.0,0.0,0.0
84cf8b9ffffffff,1.0,0.0,0.0
84cf8c3ffffffff,3.0,0.0,0.0
84cf8c7ffffffff,6.0,0.0,0.0
84cf8c9ffffffff,2.0,0.0,0.0
84cf8d5ffffffff,1.0,0.0,0.0
84cf8ddffffffff,2.0,0.0,0.0
84cf8e9ffffffff,4.0,0.0,0.0
84cfa47ffffffff,3.0,0.0,0.0
84cfa49ffffffff,5.0,0.0,0.0
84cfa4dffffffff,1.0,0.0,0.0
84cfa59ffffffff,2.0,0.0,0.0
84cfa81ffffffff,1.0,0.0,0.0
84cfa89ffffffff,17.0,0.0,0.0
84cfaa1ffffffff,91.0,0.0,0.0
84cfaa3ffffffff,1.0,0.0,0.0
84cfaadffffffff,5.0,0.0,0.0
84cfab5ffffffff,1.0,0.0,0.0
84cfac3ffffffff,1.0,0.0,0.0
84cfac9ffffffff,1.0,0.0,0.0
84cfacdffffffff,9.0,0.0,0.0
84cfae3ffffffff,1.0,0.0,0.0
84cfae7ffffffff,2.0,0.0,0.0
84df419ffffffff,4.0,0.0,0.0
84df41bffffffff,2.0,0.0,0.0
84df441ffffffff,1.0,0.0,0.0
84df44dffffffff,8.0,0.0,0.0
84df451ffffffff,150.0,0.0,17.0
84df455ffffffff,17.0,0.0,0.0
84df457ffffffff,2.0,0.0,0.0
84df459ffffffff,7.0,0.0,0.0
84df45bffffffff,9.0,0.0,0.0
84df683ffffffff,2.0,0.0,0.0
84df689ffffffff,8.0,0.0,4.0
84df68bffffffff,6.0,0.0,0.0
84df691ffffffff,2.0,0.0,2.0
84df693ffffffff,3.0,0.0,0.0
84df699ffffffff,7.0,0.0,2.0
84df6adffffffff,5.0,0.0,0.0
84df6bdffffffff,1.0,0.0,0.0
84df6d5ffffffff,2.0,0.0,0.0
84df6e7ffffffff,2.0,0.0,0.0
