cell_id,Hemixos cinereus,Hemixos cinereus cinereus,Hemixos cinereus connectens
8464343ffffffff,1.0,0.0,0.0
846434bffffffff,9.0,3.0,0.0
8465005ffffffff,8.0,0.0,0.0
8465009ffffffff,2.0,0.0,0.0
846500bffffffff,192.0,37.0,0.0
846502bffffffff,2.0,0.0,0.0
8465031ffffffff,3.0,0.0,0.0
8465033ffffffff,10.0,0.0,0.0
8465037ffffffff,20.0,0.0,0.0
8465039ffffffff,1.0,0.0,0.0
8465051ffffffff,2.0,0.0,0.0
8465055ffffffff,162.0,24.0,0.0
846505dffffffff,31.0,0.0,0.0
8465183ffffffff,7.0,5.0,0.0
8465189ffffffff,8.0,1.0,0.0
84651c1ffffffff,23.0,23.0,0.0
84651c3ffffffff,8.0,2.0,0.0
84651c9ffffffff,12.0,6.0,0.0
84651cbffffffff,2.0,0.0,0.0
84651cdffffffff,108.0,50.0,0.0
84651d1ffffffff,1.0,0.0,0.0
84651d9ffffffff,1.0,0.0,0.0
8465205ffffffff,3.0,0.0,0.0
846520dffffffff,2.0,0.0,0.0
8465221ffffffff,4.0,0.0,0.0
8465223ffffffff,14.0,0.0,0.0
8465225ffffffff,3.0,1.0,0.0
8465229ffffffff,71.0,12.0,0.0
8465235ffffffff,1.0,1.0,0.0
8465263ffffffff,15.0,3.0,0.0
84652b7ffffffff,3.0,0.0,0.0
8465545ffffffff,14.0,13.0,0.0
846556bffffffff,11.0,1.0,0.0
8468025ffffffff,9.0,0.0,1.0
8468111ffffffff,44.0,0.0,24.0
8468115ffffffff,6.0,0.0,4.0
8468119ffffffff,147.0,0.0,73.0
846811bffffffff,10.0,0.0,1.0
8468123ffffffff,51.0,0.0,38.0
8468139ffffffff,2.0,0.0,1.0
8468185ffffffff,3.0,0.0,2.0
8468189ffffffff,1.0,0.0,0.0
84681a9ffffffff,11.0,0.0,6.0
84681edffffffff,9.0,0.0,9.0
8468985ffffffff,5.0,0.0,2.0
8468a2bffffffff,1.0,0.0,0.0
8468ac9ffffffff,73.0,0.0,41.0
8468acdffffffff,3.0,0.0,2.0
848c961ffffffff,12.0,0.0,5.0
848cb43ffffffff,1.0,0.0,1.0
848cd0bffffffff,1.0,1.0,0.0
848cd55ffffffff,18.0,11.0,0.0
