cell_id,Spindalis zena,Spindalis zena zena,Spindalis zena townsendi,Spindalis zena pretrei,Spindalis zena salvini,Spindalis zena benedicti
834412fffffffff,33.0,16.0,0.0,0.0,0.0,0.0
834416fffffffff,49.0,0.0,0.0,10.0,0.0,0.0
83441efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
834430fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834432fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
834480fffffffff,2.0,0.0,2.0,0.0,0.0,0.0
834484fffffffff,247.0,0.0,71.0,0.0,0.0,0.0
834486fffffffff,13.0,0.0,8.0,0.0,0.0,0.0
8344a1fffffffff,431.0,34.0,3.0,0.0,0.0,0.0
8344a3fffffffff,50.0,0.0,9.0,0.0,0.0,0.0
8344a5fffffffff,54.0,15.0,4.0,0.0,0.0,0.0
8344a6fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8344a8fffffffff,34.0,10.0,0.0,0.0,0.0,0.0
8344aefffffffff,16.0,4.0,0.0,0.0,0.0,0.0
8344b1fffffffff,10.0,0.0,2.0,0.0,0.0,0.0
8344b2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8344b5fffffffff,6.0,2.0,0.0,0.0,0.0,0.0
8344b6fffffffff,9.0,7.0,0.0,0.0,0.0,0.0
83450afffffffff,7.0,0.0,0.0,0.0,0.0,4.0
8345a3fffffffff,4.0,0.0,0.0,0.0,4.0,0.0
834c81fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834c83fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
834c94fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
834cb2fffffffff,10.0,10.0,0.0,0.0,0.0,0.0
