cell_id,Ammospiza maritima,Ammospiza maritima maritima/macgillivraii,Ammospiza maritima nigrescens,Ammospiza maritima [sennetti Group],Ammospiza maritima mirabilis
842a101ffffffff,22.0,1.0,0.0,0.0,0.0
842a103ffffffff,16.0,0.0,0.0,0.0,0.0
842a105ffffffff,1.0,0.0,0.0,0.0,0.0
842a107ffffffff,43.0,4.0,0.0,0.0,0.0
842a109ffffffff,18.0,4.0,0.0,0.0,0.0
842a10bffffffff,65.0,3.0,0.0,0.0,0.0
842a10dffffffff,3.0,0.0,0.0,0.0,0.0
842a133ffffffff,16.0,2.0,0.0,0.0,0.0
842a143ffffffff,1.0,0.0,0.0,0.0,0.0
842a151ffffffff,18.0,0.0,0.0,0.0,0.0
842a157ffffffff,43.0,2.0,0.0,0.0,0.0
842a159ffffffff,1.0,0.0,0.0,0.0,0.0
842a15dffffffff,18.0,6.0,0.0,0.0,0.0
842a187ffffffff,1.0,0.0,0.0,0.0,0.0
842a301ffffffff,156.0,0.0,0.0,0.0,0.0
842a307ffffffff,11.0,0.0,0.0,0.0,0.0
842a309ffffffff,23.0,0.0,0.0,0.0,0.0
842a30dffffffff,2.0,0.0,0.0,0.0,0.0
842a311ffffffff,104.0,0.0,0.0,0.0,0.0
842a315ffffffff,9.0,3.0,0.0,0.0,0.0
842a317ffffffff,24.0,0.0,0.0,0.0,0.0
842a31dffffffff,1.0,0.0,0.0,0.0,0.0
842a333ffffffff,9.0,4.0,0.0,0.0,0.0
842a33bffffffff,99.0,54.0,0.0,0.0,0.0
842a347ffffffff,28.0,0.0,0.0,0.0,0.0
842a349ffffffff,6.0,0.0,0.0,0.0,0.0
842aa81ffffffff,7.0,0.0,0.0,0.0,0.0
842aa83ffffffff,291.0,30.0,0.0,0.0,0.0
842aa85ffffffff,2.0,0.0,0.0,0.0,0.0
842aa89ffffffff,19.0,2.0,0.0,0.0,0.0
842aa8dffffffff,39.0,0.0,0.0,0.0,0.0
842aa91ffffffff,12.0,2.0,0.0,0.0,0.0
842aa93ffffffff,5.0,0.0,0.0,0.0,0.0
842aa95ffffffff,22.0,5.0,0.0,0.0,0.0
842aa97ffffffff,7.0,0.0,0.0,0.0,0.0
842aa9bffffffff,3.0,3.0,0.0,0.0,0.0
842aa9dffffffff,2.0,0.0,0.0,0.0,0.0
842aab9ffffffff,1.0,0.0,0.0,0.0,0.0
842aac3ffffffff,12.0,0.0,0.0,0.0,0.0
842aac5ffffffff,8.0,0.0,0.0,0.0,0.0
842aac7ffffffff,1.0,0.0,0.0,0.0,0.0
842aad1ffffffff,73.0,5.0,0.0,0.0,0.0
842aad3ffffffff,23.0,2.0,0.0,0.0,0.0
842aad5ffffffff,124.0,16.0,0.0,0.0,0.0
842aad9ffffffff,55.0,4.0,0.0,0.0,0.0
842aadbffffffff,41.0,18.0,0.0,0.0,0.0
842aaddffffffff,34.0,15.0,0.0,0.0,0.0
842ad15ffffffff,3.0,0.0,0.0,0.0,0.0
842ad31ffffffff,4.0,0.0,0.0,0.0,0.0
842ad37ffffffff,5.0,2.0,0.0,0.0,0.0
842ad39ffffffff,1.0,1.0,0.0,0.0,0.0
842ad51ffffffff,2.0,0.0,0.0,0.0,0.0
842ad59ffffffff,66.0,0.0,0.0,0.0,0.0
842ad6dffffffff,3.0,0.0,0.0,0.0,0.0
842af15ffffffff,3.0,1.0,0.0,0.0,0.0
842af17ffffffff,2.0,0.0,0.0,0.0,0.0
842af31ffffffff,14.0,0.0,0.0,0.0,0.0
842af39ffffffff,6.0,0.0,0.0,0.0,0.0
842af45ffffffff,2.0,0.0,0.0,0.0,0.0
842af61ffffffff,19.0,8.0,0.0,0.0,0.0
842af63ffffffff,12.0,2.0,0.0,0.0,0.0
842af67ffffffff,32.0,0.0,0.0,0.0,0.0
842af69ffffffff,25.0,4.0,0.0,0.0,0.0
842af6bffffffff,24.0,0.0,0.0,0.0,0.0
842af6dffffffff,9.0,3.0,0.0,0.0,0.0
842b03bffffffff,30.0,0.0,0.0,0.0,0.0
842b0a5ffffffff,3.0,0.0,0.0,0.0,0.0
842b0c5ffffffff,4.0,0.0,0.0,0.0,0.0
842b1b5ffffffff,7.0,0.0,0.0,0.0,0.0
842b33bffffffff,5.0,0.0,0.0,0.0,0.0
8444125ffffffff,2.0,0.0,0.0,0.0,0.0
844412dffffffff,41.0,0.0,0.0,0.0,20.0
84441a3ffffffff,2.0,0.0,0.0,2.0,0.0
