cell_id,Pycnonotus sinensis,Pycnonotus sinensis sinensis,Pycnonotus sinensis hainanus,Pycnonotus sinensis formosae/orii
8324c2fffffffff,2.0,0.0,0.0,0.0
8324d1fffffffff,5.0,0.0,0.0,0.0
8324d2fffffffff,4.0,0.0,0.0,0.0
833000fffffffff,3.0,0.0,0.0,0.0
833005fffffffff,2.0,0.0,0.0,0.0
833006fffffffff,27.0,0.0,0.0,0.0
833010fffffffff,5.0,0.0,0.0,0.0
833011fffffffff,28.0,0.0,0.0,0.0
833012fffffffff,2.0,0.0,0.0,0.0
833019fffffffff,81.0,0.0,0.0,0.0
83301efffffffff,2.0,0.0,0.0,0.0
833022fffffffff,2.0,0.0,0.0,0.0
833025fffffffff,2.0,0.0,0.0,0.0
833026fffffffff,1.0,0.0,0.0,0.0
83302bfffffffff,23.0,0.0,0.0,0.0
833030fffffffff,36.0,0.0,0.0,0.0
833032fffffffff,51.0,0.0,0.0,0.0
833034fffffffff,1.0,0.0,0.0,0.0
833035fffffffff,1.0,0.0,0.0,0.0
833036fffffffff,1.0,0.0,0.0,0.0
833080fffffffff,9.0,0.0,0.0,0.0
833081fffffffff,40.0,7.0,0.0,0.0
833082fffffffff,3.0,0.0,0.0,0.0
833083fffffffff,114.0,19.0,0.0,0.0
833084fffffffff,19.0,0.0,0.0,0.0
833085fffffffff,2.0,0.0,0.0,0.0
83308efffffffff,42.0,15.0,0.0,0.0
833091fffffffff,151.0,16.0,0.0,0.0
833092fffffffff,25.0,7.0,0.0,0.0
833096fffffffff,19.0,5.0,0.0,0.0
833098fffffffff,535.0,14.0,0.0,0.0
833099fffffffff,543.0,78.0,0.0,0.0
83309afffffffff,709.0,523.0,0.0,0.0
83309bfffffffff,1260.0,266.0,0.0,0.0
83309cfffffffff,3.0,0.0,0.0,0.0
83309dfffffffff,306.0,36.0,0.0,0.0
83309efffffffff,49.0,25.0,0.0,0.0
8330a1fffffffff,7.0,0.0,0.0,0.0
8330a2fffffffff,6.0,0.0,0.0,0.0
8330a3fffffffff,10.0,1.0,0.0,0.0
8330a5fffffffff,4.0,0.0,0.0,0.0
8330acfffffffff,47.0,0.0,0.0,0.0
8330b0fffffffff,2.0,0.0,0.0,0.0
8330b1fffffffff,2.0,0.0,0.0,0.0
8330b5fffffffff,3.0,0.0,0.0,0.0
8330c0fffffffff,11.0,0.0,0.0,0.0
8330c1fffffffff,22.0,7.0,0.0,0.0
8330c2fffffffff,5.0,0.0,0.0,0.0
8330c3fffffffff,3.0,0.0,0.0,0.0
8330c4fffffffff,11.0,1.0,0.0,0.0
8330c6fffffffff,4.0,0.0,0.0,0.0
8330d0fffffffff,20.0,0.0,0.0,0.0
8330d1fffffffff,50.0,0.0,0.0,0.0
8330d3fffffffff,4.0,0.0,0.0,0.0
8330d4fffffffff,2.0,0.0,0.0,0.0
8330d5fffffffff,3.0,0.0,0.0,0.0
8330e0fffffffff,39.0,0.0,0.0,0.0
8330e1fffffffff,8.0,0.0,0.0,0.0
8330e2fffffffff,94.0,0.0,0.0,0.0
8330e4fffffffff,11.0,0.0,0.0,0.0
8330e5fffffffff,5.0,0.0,0.0,0.0
8330e8fffffffff,1.0,0.0,0.0,0.0
8330eafffffffff,28.0,10.0,0.0,0.0
8330f3fffffffff,2.0,0.0,0.0,0.0
833159fffffffff,1.0,0.0,0.0,0.0
833181fffffffff,83.0,4.0,0.0,0.0
833182fffffffff,2.0,0.0,0.0,0.0
833183fffffffff,2.0,0.0,0.0,0.0
833185fffffffff,300.0,44.0,0.0,0.0
833188fffffffff,28.0,0.0,0.0,0.0
83318cfffffffff,102.0,0.0,0.0,0.0
83318dfffffffff,899.0,17.0,0.0,0.0
833190fffffffff,10.0,0.0,0.0,0.0
833191fffffffff,2.0,0.0,0.0,0.0
833192fffffffff,8.0,0.0,0.0,0.0
833199fffffffff,4.0,0.0,0.0,0.0
83319cfffffffff,1.0,0.0,0.0,0.0
83319dfffffffff,4.0,0.0,0.0,0.0
8331a1fffffffff,2.0,0.0,0.0,0.0
8331a8fffffffff,97.0,12.0,0.0,0.0
8331aafffffffff,1927.0,220.0,0.0,0.0
8331abfffffffff,11.0,0.0,0.0,0.0
8331aefffffffff,14.0,0.0,0.0,0.0
8331b1fffffffff,2.0,0.0,0.0,0.0
8331b4fffffffff,4.0,0.0,0.0,0.0
834001fffffffff,4.0,0.0,0.0,0.0
834002fffffffff,4.0,0.0,0.0,0.0
834004fffffffff,5.0,0.0,0.0,0.0
834005fffffffff,2.0,0.0,0.0,0.0
834008fffffffff,1.0,0.0,0.0,0.0
83400afffffffff,9.0,0.0,0.0,0.0
83400cfffffffff,2.0,0.0,0.0,0.0
83400dfffffffff,2.0,0.0,0.0,0.0
834010fffffffff,2.0,2.0,0.0,0.0
834012fffffffff,8.0,0.0,0.0,0.0
834013fffffffff,5.0,4.0,0.0,0.0
834018fffffffff,3.0,0.0,0.0,0.0
834019fffffffff,22.0,0.0,0.0,0.0
83401afffffffff,10.0,0.0,0.0,0.0
834020fffffffff,2.0,0.0,0.0,0.0
834021fffffffff,1.0,0.0,0.0,0.0
834022fffffffff,41.0,0.0,0.0,0.0
834024fffffffff,2.0,2.0,0.0,0.0
83402dfffffffff,303.0,24.0,264.0,0.0
834030fffffffff,33.0,0.0,0.0,0.0
834032fffffffff,5.0,0.0,0.0,0.0
834034fffffffff,36.0,1.0,0.0,0.0
834036fffffffff,4.0,0.0,0.0,0.0
83404cfffffffff,2.0,0.0,0.0,0.0
834061fffffffff,2.0,0.0,0.0,0.0
834066fffffffff,3.0,0.0,0.0,0.0
834071fffffffff,5.0,0.0,0.0,0.0
834082fffffffff,2.0,0.0,0.0,0.0
834085fffffffff,2.0,0.0,0.0,0.0
834086fffffffff,1.0,0.0,0.0,0.0
834088fffffffff,28.0,2.0,0.0,0.0
834089fffffffff,13.0,1.0,0.0,0.0
83408afffffffff,7.0,0.0,0.0,0.0
83408bfffffffff,1.0,1.0,0.0,0.0
83408dfffffffff,10.0,0.0,0.0,0.0
83408efffffffff,21.0,3.0,0.0,0.0
834090fffffffff,25.0,0.0,0.0,0.0
834091fffffffff,1.0,0.0,0.0,0.0
834095fffffffff,7.0,0.0,0.0,0.0
834096fffffffff,2.0,0.0,0.0,0.0
8340a0fffffffff,24.0,0.0,0.0,0.0
