cell_id,Rhipidura semicollaris,Rhipidura semicollaris [semicollaris Group],Rhipidura semicollaris elegantula,Rhipidura semicollaris reichenowi,Rhipidura semicollaris hamadryas,Rhipidura semicollaris squamata/henrici
837290fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
837291fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83739afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83739bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839404fffffffff,35.0,0.0,0.0,0.0,0.0,0.0
839415fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
839421fffffffff,40.0,0.0,0.0,0.0,0.0,0.0
839422fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839423fffffffff,155.0,0.0,0.0,0.0,0.0,0.0
839426fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
839428fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83942cfffffffff,91.0,0.0,0.0,0.0,0.0,0.0
83942dfffffffff,105.0,0.0,0.0,0.0,0.0,0.0
83942efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839431fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
839434fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839460fffffffff,91.0,0.0,0.0,0.0,0.0,0.0
839466fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
83950afffffffff,12.0,0.0,0.0,0.0,0.0,0.0
839518fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83951afffffffff,38.0,0.0,0.0,0.0,0.0,0.0
83951dfffffffff,19.0,0.0,0.0,0.0,0.0,0.0
83951efffffffff,14.0,0.0,0.0,0.0,0.0,0.0
839548fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
839552fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839553fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
839558fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
83955afffffffff,19.0,0.0,0.0,0.0,0.0,0.0
83955bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8395a5fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8395a9fffffffff,120.0,0.0,0.0,0.0,0.0,0.0
8395adfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
