cell_id,Clibanornis rubiginosus,Clibanornis rubiginosus [rubiginosus Group],Clibanornis rubiginosus [nigricauda Group],Clibanornis rubiginosus cinnamomeigula,Clibanornis rubiginosus [obscurus Group],Clibanornis rubiginosus watkinsi
8445201ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
844520dffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8445243ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8445253ffffffff,6.0,6.0,0.0,0.0,0.0,0.0
8449963ffffffff,11.0,5.0,0.0,0.0,0.0,0.0
845f011ffffffff,1.0,0.0,0.0,0.0,1.0,0.0
8466131ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8466137ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466139ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84661b1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466b51ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466d23ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8466da7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466de7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466e51ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8466e59ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8466f03ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
846d2d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846d307ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d30dffffffff,7.0,0.0,0.0,0.0,0.0,0.0
848b5c3ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
848b617ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
