cell_id,Aethopyga nipalensis,Aethopyga nipalensis [nipalensis Group],Aethopyga nipalensis angkanensis
823c07fffffffff,7.0,3.0,0.0
823c0ffffffffff,4.0,2.0,0.0
823c1ffffffffff,29.0,2.0,0.0
823c37fffffffff,4.0,4.0,0.0
823c47fffffffff,2.0,2.0,0.0
823c57fffffffff,21.0,8.0,0.0
823c5ffffffffff,44.0,2.0,0.0
823cc7fffffffff,8.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0
823ce7fffffffff,14.0,0.0,0.0
823ceffffffffff,2.0,0.0,0.0
823d17fffffffff,14.0,1.0,0.0
823daffffffffff,4.0,0.0,0.0
82404ffffffffff,7.0,4.0,0.0
826437fffffffff,2.0,1.0,0.0
826487fffffffff,63.0,0.0,46.0
8264a7fffffffff,1.0,1.0,0.0
