cell_id,Larus californicus,Larus californicus californicus,Larus californicus albertaensis
83120bfffffffff,4.0,0.0,0.0
831215fffffffff,1.0,0.0,0.0
831218fffffffff,20.0,0.0,0.0
831219fffffffff,4.0,0.0,0.0
83121bfffffffff,50.0,0.0,0.0
83121efffffffff,18.0,0.0,0.0
831229fffffffff,2.0,0.0,0.0
831243fffffffff,52.0,0.0,0.0
831245fffffffff,2.0,0.0,0.0
83124bfffffffff,20.0,0.0,0.0
83124efffffffff,2.0,0.0,0.0
831250fffffffff,144.0,0.0,8.0
831251fffffffff,244.0,0.0,54.0
831252fffffffff,29.0,0.0,0.0
831253fffffffff,117.0,0.0,37.0
831254fffffffff,49.0,0.0,0.0
831255fffffffff,2.0,0.0,0.0
831256fffffffff,2.0,0.0,0.0
831258fffffffff,23.0,0.0,0.0
831259fffffffff,306.0,0.0,0.0
83125afffffffff,30.0,0.0,0.0
83125bfffffffff,8.0,0.0,0.0
83125cfffffffff,2.0,0.0,0.0
83125dfffffffff,16.0,0.0,0.0
83125efffffffff,12.0,0.0,0.0
831261fffffffff,2.0,0.0,0.0
831263fffffffff,14.0,0.0,0.0
831272fffffffff,73.0,0.0,0.0
831280fffffffff,67.0,0.0,0.0
831282fffffffff,12.0,0.0,0.0
831283fffffffff,2.0,0.0,0.0
831286fffffffff,55.0,0.0,0.0
831288fffffffff,4.0,0.0,0.0
831289fffffffff,16.0,0.0,0.0
83128bfffffffff,68.0,0.0,0.0
83128dfffffffff,8.0,0.0,0.0
83128efffffffff,12.0,0.0,0.0
831290fffffffff,108.0,0.0,0.0
831291fffffffff,2.0,0.0,0.0
831293fffffffff,3.0,0.0,0.0
831294fffffffff,41.0,0.0,0.0
831295fffffffff,12.0,0.0,0.0
831296fffffffff,3.0,0.0,0.0
831298fffffffff,42.0,0.0,0.0
831299fffffffff,148.0,0.0,0.0
83129afffffffff,67.0,0.0,0.0
83129bfffffffff,1481.0,0.0,0.0
83129cfffffffff,69.0,0.0,0.0
83129dfffffffff,26.0,0.0,0.0
83129efffffffff,3.0,0.0,0.0
8312a2fffffffff,44.0,0.0,0.0
8312aafffffffff,4.0,0.0,0.0
8312abfffffffff,27.0,0.0,0.0
8312adfffffffff,1.0,0.0,0.0
8312b0fffffffff,534.0,0.0,0.0
8312b1fffffffff,12.0,0.0,0.0
8312b2fffffffff,2.0,0.0,0.0
8312b3fffffffff,26.0,0.0,0.0
8312b4fffffffff,76.0,0.0,0.0
8312b5fffffffff,27.0,0.0,0.0
8312b6fffffffff,14.0,0.0,0.0
8312c0fffffffff,34.0,0.0,0.0
8312c1fffffffff,179.0,0.0,0.0
8312c2fffffffff,22.0,0.0,0.0
8312c3fffffffff,136.0,0.0,0.0
8312c4fffffffff,6.0,0.0,0.0
8312c5fffffffff,7.0,0.0,0.0
8312c8fffffffff,318.0,0.0,0.0
8312c9fffffffff,332.0,0.0,0.0
8312cafffffffff,78.0,0.0,0.0
8312cbfffffffff,97.0,0.0,0.0
8312ccfffffffff,8100.0,0.0,0.0
8312cdfffffffff,548.0,0.0,0.0
8312cefffffffff,4.0,0.0,0.0
8312d0fffffffff,54.0,0.0,0.0
8312d1fffffffff,1359.0,0.0,0.0
8312d2fffffffff,23.0,0.0,0.0
8312d3fffffffff,93.0,0.0,0.0
8312d4fffffffff,3.0,0.0,0.0
8312d5fffffffff,20.0,0.0,0.0
8312d6fffffffff,21.0,0.0,0.0
8312d8fffffffff,213.0,0.0,0.0
8312d9fffffffff,176.0,0.0,0.0
8312dafffffffff,70.0,0.0,0.0
8312dbfffffffff,237.0,0.0,0.0
8312dcfffffffff,811.0,0.0,0.0
8312ddfffffffff,280.0,0.0,0.0
8312defffffffff,611.0,0.0,0.0
8312e0fffffffff,4.0,0.0,0.0
8312e1fffffffff,474.0,0.0,2.0
8312e2fffffffff,1.0,0.0,0.0
8312e3fffffffff,17.0,0.0,0.0
8312e4fffffffff,2.0,0.0,0.0
8312e5fffffffff,4.0,0.0,0.0
8312e6fffffffff,2.0,0.0,0.0
8312e8fffffffff,135.0,0.0,0.0
8312e9fffffffff,5.0,0.0,0.0
8312eafffffffff,167.0,0.0,0.0
8312ebfffffffff,112.0,0.0,0.0
8312ecfffffffff,1172.0,0.0,37.0
8312edfffffffff,11.0,0.0,0.0
8312eefffffffff,33.0,0.0,0.0
8312f0fffffffff,8.0,0.0,0.0
8312f1fffffffff,6.0,0.0,0.0
