cell_id,Accipiter striatus,Accipiter striatus [striatus Group],Accipiter striatus [velox Group],Accipiter striatus madrensis,Accipiter striatus chionogaster,Accipiter striatus ventralis,Accipiter striatus erythronemius
830c2dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
830c42fffffffff,95.0,0.0,0.0,0.0,0.0,0.0,0.0
830c45fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
830c50fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
830c51fffffffff,93.0,0.0,0.0,0.0,0.0,0.0,0.0
830c54fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,73.0,0.0,0.0,0.0,0.0,0.0,0.0
830c60fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
830c61fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830c62fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830c63fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830c64fffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0
830c65fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
830c66fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
830c68fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830c70fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
830c71fffffffff,161.0,0.0,45.0,0.0,0.0,0.0,0.0
830c73fffffffff,312.0,0.0,4.0,0.0,0.0,0.0,0.0
830c74fffffffff,70.0,0.0,1.0,0.0,0.0,0.0,0.0
830c76fffffffff,32.0,0.0,3.0,0.0,0.0,0.0,0.0
830ce9fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830cecfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830cedfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830ceefffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830d48fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830d49fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830d4afffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
830d4cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
