cell_id,Turdus albicollis,Turdus albicollis [phaeopygus Group],Turdus albicollis [albicollis Group]
825f07fffffffff,116.0,0.0,0.0
825f0ffffffffff,5.0,0.0,0.0
825f17fffffffff,66.0,0.0,0.0
825f27fffffffff,1.0,0.0,0.0
825f2ffffffffff,30.0,0.0,0.0
825f47fffffffff,15.0,0.0,0.0
825f4ffffffffff,20.0,0.0,0.0
825f57fffffffff,4.0,0.0,0.0
825f5ffffffffff,1481.0,0.0,0.0
825f6ffffffffff,1.0,0.0,0.0
825f77fffffffff,46.0,0.0,0.0
826607fffffffff,7.0,0.0,0.0
82660ffffffffff,72.0,0.0,0.0
826627fffffffff,332.0,0.0,0.0
82662ffffffffff,55.0,0.0,0.0
826647fffffffff,20.0,0.0,0.0
82664ffffffffff,14.0,0.0,0.0
826657fffffffff,74.0,0.0,0.0
82665ffffffffff,152.0,0.0,0.0
826667fffffffff,4.0,0.0,0.0
82666ffffffffff,4.0,0.0,0.0
826677fffffffff,4.0,0.0,0.0
8266c7fffffffff,53.0,0.0,0.0
8266cffffffffff,18.0,0.0,0.0
8266d7fffffffff,304.0,0.0,0.0
8266dffffffffff,931.0,42.0,0.0
8266e7fffffffff,365.0,0.0,0.0
8266effffffffff,209.0,0.0,0.0
826747fffffffff,226.0,3.0,0.0
82674ffffffffff,20.0,0.0,0.0
826757fffffffff,47.0,0.0,0.0
82675ffffffffff,31.0,0.0,0.0
828047fffffffff,4.0,0.0,0.0
82804ffffffffff,8.0,0.0,0.0
828067fffffffff,38.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0
828077fffffffff,2.0,0.0,0.0
828107fffffffff,10.0,0.0,0.0
82811ffffffffff,2.0,0.0,0.0
828127fffffffff,153.0,0.0,0.0
82812ffffffffff,13.0,0.0,0.0
828137fffffffff,370.0,0.0,0.0
828147fffffffff,1.0,0.0,0.0
82814ffffffffff,16.0,0.0,0.0
82815ffffffffff,1.0,0.0,0.0
828187fffffffff,66.0,0.0,0.0
828a07fffffffff,13.0,0.0,0.0
828a27fffffffff,1.0,0.0,0.0
828a2ffffffffff,2.0,0.0,0.0
828a47fffffffff,26.0,0.0,0.0
828a6ffffffffff,30.0,0.0,0.0
828a77fffffffff,8.0,0.0,0.0
828a87fffffffff,4.0,0.0,0.0
828aaffffffffff,6.0,0.0,0.0
828adffffffffff,15.0,1.0,0.0
828ae7fffffffff,1.0,0.0,0.0
828af7fffffffff,387.0,0.0,0.0
828b27fffffffff,100.0,0.0,0.0
828b2ffffffffff,20.0,0.0,0.0
828b47fffffffff,491.0,11.0,0.0
828b4ffffffffff,4.0,0.0,0.0
828b57fffffffff,3.0,0.0,0.0
828b5ffffffffff,2.0,0.0,0.0
828b67fffffffff,139.0,0.0,0.0
828b6ffffffffff,35.0,0.0,0.0
828b77fffffffff,69.0,4.0,0.0
828b87fffffffff,2.0,0.0,0.0
828b8ffffffffff,3.0,0.0,0.0
828b9ffffffffff,16.0,0.0,0.0
828ba7fffffffff,4.0,0.0,0.0
828bb7fffffffff,33.0,0.0,0.0
828e67fffffffff,19.0,0.0,0.0
828f47fffffffff,117.0,0.0,0.0
828f4ffffffffff,9.0,0.0,0.0
828f57fffffffff,3.0,0.0,0.0
828f5ffffffffff,3.0,0.0,0.0
828f67fffffffff,75.0,0.0,0.0
828f6ffffffffff,10.0,0.0,0.0
828f77fffffffff,520.0,53.0,0.0
82a597fffffffff,6.0,0.0,0.0
82a807fffffffff,727.0,0.0,100.0
82a80ffffffffff,2.0,0.0,0.0
82a817fffffffff,3628.0,0.0,139.0
82a81ffffffffff,129.0,0.0,0.0
82a827fffffffff,211.0,0.0,0.0
82a82ffffffffff,26.0,0.0,0.0
82a837fffffffff,956.0,0.0,6.0
82a847fffffffff,10.0,0.0,0.0
82a85ffffffffff,9.0,0.0,0.0
82a867fffffffff,3.0,0.0,0.0
82a887fffffffff,499.0,0.0,0.0
82a88ffffffffff,10.0,0.0,0.0
82a897fffffffff,72.0,0.0,0.0
82a8a7fffffffff,1091.0,0.0,19.0
82a8affffffffff,271.0,0.0,0.0
82a8c7fffffffff,8.0,0.0,0.0
82a8cffffffffff,8.0,0.0,0.0
82a8d7fffffffff,44.0,0.0,0.0
82a8dffffffffff,27.0,0.0,0.0
82a8e7fffffffff,1.0,0.0,0.0
82a8f7fffffffff,2.0,0.0,0.0
82a907fffffffff,44.0,0.0,0.0
82a90ffffffffff,232.0,0.0,0.0
82a91ffffffffff,419.0,0.0,0.0
82a927fffffffff,2.0,0.0,0.0
82a92ffffffffff,453.0,0.0,0.0
82a947fffffffff,357.0,0.0,0.0
82a957fffffffff,1221.0,0.0,2.0
82a95ffffffffff,22.0,0.0,0.0
82a967fffffffff,4.0,0.0,0.0
82a977fffffffff,80.0,0.0,0.0
82b327fffffffff,40.0,0.0,0.0
82b347fffffffff,7.0,0.0,0.0
82b367fffffffff,20.0,0.0,0.0
82c2d7fffffffff,128.0,0.0,0.0
82c2dffffffffff,42.0,0.0,0.0
82c2f7fffffffff,153.0,0.0,3.0
