cell_id,Megascops roraimae,Megascops roraimae roraimae,Megascops roraimae [napensis Group]
835f00fffffffff,10.0,0.0,0.0
835f03fffffffff,46.0,0.0,0.0
835f12fffffffff,6.0,1.0,0.0
835f71fffffffff,19.0,8.0,0.0
835f75fffffffff,1.0,0.0,0.0
83660dfffffffff,1.0,0.0,0.0
83662dfffffffff,1.0,0.0,0.0
83666efffffffff,3.0,0.0,0.0
8366c2fffffffff,14.0,0.0,5.0
8366c6fffffffff,2.0,0.0,2.0
8366d1fffffffff,99.0,0.0,35.0
8366dafffffffff,37.0,0.0,11.0
8366defffffffff,303.0,0.0,105.0
836742fffffffff,2.0,0.0,0.0
836743fffffffff,92.0,0.0,3.0
83674cfffffffff,1.0,0.0,0.0
83674efffffffff,9.0,0.0,0.0
83675cfffffffff,16.0,0.0,0.0
838b61fffffffff,1.0,0.0,0.0
838b74fffffffff,2.0,0.0,0.0
838f40fffffffff,4.0,0.0,0.0
838f42fffffffff,3.0,0.0,0.0
838f43fffffffff,81.0,0.0,9.0
838f46fffffffff,57.0,0.0,12.0
838f48fffffffff,4.0,0.0,0.0
838f5dfffffffff,12.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0
