cell_id,Tangara arthus,Tangara arthus arthus,Tangara arthus [aurulenta Group],Tangara arthus [pulchra Group]
836601fffffffff,65.0,0.0,4.0,0.0
836608fffffffff,807.0,0.0,11.0,0.0
836609fffffffff,2.0,0.0,0.0,0.0
83660afffffffff,11.0,0.0,0.0,0.0
83660bfffffffff,216.0,0.0,0.0,0.0
83660cfffffffff,6.0,0.0,0.0,0.0
83660dfffffffff,6.0,0.0,0.0,0.0
836618fffffffff,255.0,0.0,4.0,0.0
836619fffffffff,1578.0,0.0,9.0,0.0
83661afffffffff,2.0,0.0,0.0,0.0
83661bfffffffff,5763.0,0.0,240.0,0.0
83661dfffffffff,1090.0,0.0,5.0,0.0
836621fffffffff,6.0,0.0,0.0,0.0
836629fffffffff,35.0,7.0,0.0,0.0
8366c0fffffffff,390.0,0.0,0.0,0.0
8366c2fffffffff,356.0,0.0,0.0,0.0
8366c4fffffffff,128.0,0.0,0.0,0.0
8366c6fffffffff,1088.0,0.0,4.0,0.0
8366d0fffffffff,688.0,0.0,49.0,0.0
8366d1fffffffff,53.0,0.0,0.0,0.0
8366d3fffffffff,13977.0,0.0,1035.0,0.0
8366d5fffffffff,15.0,0.0,0.0,0.0
8366dafffffffff,162.0,0.0,0.0,13.0
8366defffffffff,2061.0,0.0,0.0,142.0
8366e0fffffffff,306.0,0.0,15.0,0.0
8366e2fffffffff,59.0,0.0,0.0,0.0
8366e3fffffffff,8.0,0.0,0.0,0.0
8366e4fffffffff,177.0,0.0,0.0,0.0
8366e5fffffffff,96.0,0.0,0.0,0.0
8366e6fffffffff,6985.0,0.0,198.0,0.0
8366f0fffffffff,223.0,0.0,3.0,0.0
8366f1fffffffff,7675.0,0.0,189.0,0.0
8366f3fffffffff,12.0,0.0,0.0,0.0
8366f5fffffffff,1940.0,0.0,14.0,0.0
836741fffffffff,212.0,20.0,0.0,0.0
836742fffffffff,5.0,0.0,0.0,0.0
836743fffffffff,425.0,35.0,0.0,0.0
83674cfffffffff,17.0,0.0,0.0,0.0
83674dfffffffff,2.0,0.0,0.0,0.0
83674efffffffff,258.0,8.0,0.0,0.0
836751fffffffff,74.0,3.0,0.0,0.0
83675afffffffff,97.0,5.0,0.0,0.0
83675cfffffffff,109.0,0.0,0.0,0.0
83675efffffffff,70.0,3.0,0.0,0.0
838b21fffffffff,3.0,0.0,0.0,0.0
838b2cfffffffff,22.0,0.0,0.0,1.0
838b2efffffffff,1.0,0.0,0.0,0.0
838b61fffffffff,1274.0,0.0,0.0,67.0
838b63fffffffff,16.0,0.0,0.0,0.0
838b6cfffffffff,4.0,0.0,0.0,0.0
838b75fffffffff,5.0,0.0,0.0,0.0
838e64fffffffff,66.0,0.0,0.0,0.0
838e65fffffffff,27.0,0.0,0.0,0.0
838f0dfffffffff,651.0,0.0,47.0,0.0
838f29fffffffff,199.0,0.0,0.0,0.0
838f2bfffffffff,115.0,0.0,0.0,0.0
838f2dfffffffff,18.0,0.0,0.0,0.0
838f40fffffffff,3.0,0.0,0.0,0.0
838f43fffffffff,86.0,0.0,0.0,0.0
838f46fffffffff,376.0,0.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0,0.0
838f5cfffffffff,2.0,0.0,0.0,0.0
838f5dfffffffff,13.0,0.0,0.0,0.0
838f70fffffffff,108.0,0.0,0.0,19.0
838f72fffffffff,738.0,0.0,0.0,101.0
838f73fffffffff,38.0,0.0,0.0,1.0
838f74fffffffff,20.0,0.0,0.0,0.0
838f76fffffffff,96.0,0.0,2.0,0.0
83b325fffffffff,6.0,0.0,0.0,0.0
