cell_id,Coracina striata,Coracina striata [sumatrensis Group],Coracina striata [striata Group]
836500fffffffff,55.0,1.0,0.0
836504fffffffff,1.0,0.0,0.0
836505fffffffff,3.0,0.0,0.0
836522fffffffff,4.0,0.0,0.0
836526fffffffff,7.0,0.0,0.0
836556fffffffff,2.0,0.0,0.0
836573fffffffff,12.0,0.0,0.0
836810fffffffff,2.0,0.0,0.0
836811fffffffff,1.0,0.0,0.0
836812fffffffff,3.0,0.0,0.0
836818fffffffff,30.0,0.0,0.0
83681cfffffffff,3.0,0.0,0.0
83681dfffffffff,2.0,0.0,0.0
836828fffffffff,183.0,0.0,14.0
83682afffffffff,1.0,0.0,1.0
83682dfffffffff,1.0,0.0,0.0
83682efffffffff,2.0,0.0,0.0
83689dfffffffff,1.0,0.0,0.0
8368a6fffffffff,1.0,0.0,0.0
8368abfffffffff,1.0,0.0,0.0
8368acfffffffff,3.0,0.0,0.0
836941fffffffff,1.0,0.0,0.0
836943fffffffff,601.0,0.0,31.0
836945fffffffff,4.0,0.0,0.0
83694afffffffff,8.0,0.0,0.0
83694bfffffffff,2.0,0.0,0.0
83694efffffffff,122.0,0.0,8.0
83695dfffffffff,1.0,0.0,0.0
83695efffffffff,3.0,0.0,0.0
83696bfffffffff,2.0,0.0,0.0
83696cfffffffff,9.0,0.0,0.0
83696dfffffffff,37.0,0.0,13.0
83696efffffffff,1.0,0.0,0.0
838cadfffffffff,21.0,0.0,0.0
838cc2fffffffff,6.0,0.0,0.0
838cdcfffffffff,2.0,1.0,0.0
838cf5fffffffff,3.0,0.0,0.0
