cell_id,Calandrella blanfordi,Calandrella blanfordi blanfordi,Calandrella blanfordi erlangeri
825287fffffffff,8.0,0.0,5.0
825297fffffffff,1.0,0.0,1.0
82529ffffffffff,209.0,0.0,170.0
8252a7fffffffff,3.0,0.0,0.0
826a4ffffffffff,1.0,0.0,1.0
827ac7fffffffff,3.0,0.0,3.0
827acffffffffff,64.0,0.0,61.0
827ad7fffffffff,1.0,0.0,1.0
827adffffffffff,4.0,0.0,2.0
827aeffffffffff,3.0,0.0,2.0
