cell_id,Momotus subrufescens,Momotus subrufescens [subrufescens Group],Momotus subrufescens argenticinctus
826607fffffffff,303.0,0.0,0.0
82660ffffffffff,467.0,0.0,0.0
826617fffffffff,2633.0,360.0,0.0
82661ffffffffff,363.0,0.0,0.0
826627fffffffff,2331.0,251.0,0.0
82662ffffffffff,33.0,0.0,0.0
826637fffffffff,376.0,3.0,0.0
8266a7fffffffff,4540.0,568.0,0.0
8266c7fffffffff,26.0,0.0,0.0
8266d7fffffffff,32.0,0.0,0.0
8266e7fffffffff,722.0,9.0,0.0
8266f7fffffffff,1.0,0.0,0.0
826747fffffffff,5.0,0.0,0.0
826757fffffffff,94.0,1.0,0.0
82675ffffffffff,21.0,0.0,0.0
828f0ffffffffff,738.0,0.0,76.0
828f2ffffffffff,874.0,0.0,44.0
828f57fffffffff,152.0,0.0,26.0
828f77fffffffff,72.0,0.0,16.0
