cell_id,Hirundinea ferruginea,Hirundinea ferruginea ferruginea/sclateri,Hirundinea ferruginea bellicosa/pallidior
83662bfffffffff,3.0,0.0,0.0
8366c4fffffffff,2.0,0.0,0.0
8366defffffffff,11.0,8.0,0.0
8366e0fffffffff,3.0,0.0,0.0
8366e2fffffffff,2.0,0.0,0.0
83675afffffffff,1.0,1.0,0.0
838124fffffffff,1.0,0.0,1.0
83812dfffffffff,2.0,0.0,2.0
838136fffffffff,1.0,0.0,1.0
8381adfffffffff,1.0,0.0,1.0
838a25fffffffff,2.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0
838e6cfffffffff,1.0,0.0,0.0
838f29fffffffff,2.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0
83a88efffffffff,1.0,0.0,1.0
83a92cfffffffff,3.0,0.0,0.0
83a946fffffffff,1.0,0.0,0.0
83a95dfffffffff,4.0,0.0,0.0
83a95efffffffff,2.0,0.0,0.0
83a962fffffffff,2.0,0.0,0.0
83b242fffffffff,3.0,0.0,0.0
83b243fffffffff,9.0,0.0,0.0
83b274fffffffff,1.0,0.0,0.0
83b275fffffffff,11.0,0.0,0.0
83b2ecfffffffff,2.0,0.0,0.0
83b2eefffffffff,9.0,0.0,0.0
83b35afffffffff,1.0,0.0,1.0
83b373fffffffff,7.0,0.0,0.0
83c2d8fffffffff,2.0,0.0,0.0
83ce8afffffffff,4.0,0.0,1.0
83ce93fffffffff,4.0,0.0,0.0
