cell_id,Anisognathus igniventris,Anisognathus igniventris [lunulatus Group],Anisognathus igniventris igniventris
83660bfffffffff,3.0,0.0,0.0
8366c6fffffffff,39.0,0.0,0.0
8366d1fffffffff,22.0,0.0,0.0
8366d3fffffffff,24.0,1.0,0.0
8366d5fffffffff,17.0,0.0,0.0
8366defffffffff,17.0,16.0,0.0
8366e6fffffffff,75.0,0.0,2.0
8366f1fffffffff,6.0,0.0,0.0
8366f5fffffffff,24.0,0.0,0.0
838b21fffffffff,1.0,0.0,1.0
838b2cfffffffff,5.0,0.0,5.0
838b61fffffffff,8.0,0.0,8.0
838b6cfffffffff,3.0,0.0,3.0
838e61fffffffff,1.0,0.0,0.0
838e65fffffffff,4.0,0.0,4.0
838e6dfffffffff,4.0,0.0,4.0
838f54fffffffff,2.0,0.0,0.0
838f72fffffffff,6.0,6.0,0.0
838f76fffffffff,4.0,0.0,0.0
83b325fffffffff,6.0,0.0,6.0
