cell_id,Formicarius analis,Formicarius analis [hoffmanni Group],Formicarius analis [analis Group]
8445305ffffffff,27.0,0.0,0.0
844530dffffffff,2.0,0.0,0.0
844532bffffffff,45.0,0.0,0.0
844532dffffffff,3.0,0.0,0.0
8445345ffffffff,5.0,0.0,0.0
8445363ffffffff,33.0,24.0,0.0
8445365ffffffff,41.0,8.0,0.0
8445367ffffffff,18.0,10.0,0.0
845f011ffffffff,3.0,0.0,0.0
845f017ffffffff,1.0,0.0,0.0
845f01bffffffff,4.0,0.0,0.0
845f025ffffffff,2.0,0.0,0.0
845f035ffffffff,27.0,0.0,0.0
845f037ffffffff,1.0,0.0,0.0
845f03dffffffff,69.0,0.0,0.0
845f105ffffffff,6.0,0.0,0.0
845f117ffffffff,1.0,0.0,0.0
845f119ffffffff,1.0,0.0,0.0
845f129ffffffff,1.0,0.0,0.0
845f139ffffffff,3.0,0.0,0.0
845f13dffffffff,1.0,0.0,0.0
845f143ffffffff,14.0,0.0,0.0
845f1e9ffffffff,1.0,0.0,0.0
845f295ffffffff,5.0,0.0,0.0
845f299ffffffff,1.0,0.0,0.0
845f2b1ffffffff,9.0,0.0,0.0
845f2b3ffffffff,41.0,0.0,0.0
845f2bbffffffff,10.0,0.0,0.0
845f331ffffffff,1.0,0.0,0.0
845f407ffffffff,4.0,0.0,0.0
845f42bffffffff,4.0,0.0,0.0
845f487ffffffff,37.0,0.0,0.0
845f4a7ffffffff,14.0,0.0,0.0
845f4abffffffff,22.0,0.0,0.0
845f4bdffffffff,6.0,0.0,0.0
845f50bffffffff,2.0,0.0,0.0
845f549ffffffff,13.0,0.0,0.0
845f581ffffffff,2.0,0.0,0.0
845f583ffffffff,384.0,0.0,0.0
845f587ffffffff,2.0,0.0,0.0
845f5b9ffffffff,9.0,0.0,0.0
845f711ffffffff,3.0,0.0,0.0
845f717ffffffff,1.0,0.0,0.0
845f755ffffffff,1.0,0.0,0.0
8466057ffffffff,2.0,0.0,0.0
8466085ffffffff,11.0,0.0,0.0
8466089ffffffff,2.0,0.0,0.0
846608dffffffff,641.0,0.0,0.0
8466097ffffffff,2.0,0.0,0.0
8466099ffffffff,10.0,0.0,0.0
84660a3ffffffff,1.0,0.0,0.0
84660a5ffffffff,3.0,0.0,0.0
84660a7ffffffff,97.0,0.0,0.0
84660b3ffffffff,5.0,0.0,0.0
84660c7ffffffff,1.0,0.0,0.0
84660d1ffffffff,4.0,0.0,0.0
84660d3ffffffff,3.0,0.0,0.0
84660d9ffffffff,4.0,0.0,0.0
84660ddffffffff,6.0,0.0,0.0
84660e7ffffffff,1.0,0.0,0.0
8466103ffffffff,6.0,0.0,0.0
8466107ffffffff,384.0,77.0,0.0
846610bffffffff,2.0,0.0,0.0
8466115ffffffff,2.0,0.0,0.0
8466117ffffffff,4.0,0.0,0.0
8466129ffffffff,19.0,4.0,0.0
8466131ffffffff,137.0,33.0,0.0
8466135ffffffff,9.0,3.0,0.0
8466139ffffffff,352.0,46.0,0.0
846613bffffffff,14.0,0.0,0.0
846613dffffffff,7.0,0.0,0.0
8466163ffffffff,107.0,14.0,0.0
8466165ffffffff,75.0,0.0,0.0
