cell_id,Actinodura waldeni,Actinodura waldeni daflaensis,Actinodura waldeni [waldeni Group]
833c43fffffffff,29.0,0.0,0.0
833c51fffffffff,1.0,0.0,0.0
833c52fffffffff,409.0,0.0,0.0
833c53fffffffff,1.0,0.0,0.0
833c58fffffffff,385.0,0.0,0.0
833c5bfffffffff,1.0,0.0,0.0
833c5cfffffffff,48.0,0.0,0.0
833c5dfffffffff,5.0,0.0,0.0
833cd8fffffffff,62.0,0.0,0.0
833cddfffffffff,14.0,0.0,0.0
833ce8fffffffff,9.0,0.0,0.0
833ce9fffffffff,28.0,0.0,0.0
833ceafffffffff,5.0,0.0,0.0
833cebfffffffff,12.0,0.0,0.0
83404cfffffffff,11.0,0.0,0.0
83404efffffffff,4.0,0.0,0.0
834059fffffffff,22.0,0.0,0.0
83406bfffffffff,1.0,0.0,0.0
