cell_id,Gypaetus barbatus,Gypaetus barbatus barbatus,Gypaetus barbatus meridionalis
82184ffffffffff,73.0,2.0,0.0
82185ffffffffff,12.0,0.0,0.0
821e17fffffffff,3.0,0.0,0.0
821eb7fffffffff,31.0,6.0,0.0
821f8ffffffffff,73.0,0.0,0.0
821f97fffffffff,8.0,0.0,0.0
821f9ffffffffff,231.0,33.0,0.0
822017fffffffff,13.0,0.0,0.0
82201ffffffffff,22.0,0.0,0.0
82204ffffffffff,9.0,0.0,0.0
822087fffffffff,23.0,0.0,0.0
82208ffffffffff,20.0,0.0,0.0
82209ffffffffff,23.0,0.0,0.0
8220a7fffffffff,19.0,2.0,0.0
8220affffffffff,20.0,0.0,0.0
8220b7fffffffff,5.0,0.0,0.0
8220e7fffffffff,69.0,0.0,0.0
8220f7fffffffff,13.0,0.0,0.0
82219ffffffffff,2.0,0.0,0.0
822407fffffffff,24.0,0.0,0.0
82240ffffffffff,44.0,0.0,0.0
82241ffffffffff,6.0,0.0,0.0
822427fffffffff,49.0,0.0,0.0
82242ffffffffff,26.0,0.0,0.0
822437fffffffff,7.0,0.0,0.0
822457fffffffff,9.0,0.0,0.0
822467fffffffff,12.0,0.0,0.0
822477fffffffff,16.0,0.0,0.0
822487fffffffff,3.0,0.0,0.0
82248ffffffffff,51.0,0.0,0.0
822497fffffffff,2.0,0.0,0.0
82249ffffffffff,54.0,0.0,0.0
8224c7fffffffff,10.0,0.0,0.0
82250ffffffffff,2.0,0.0,0.0
822517fffffffff,102.0,0.0,0.0
82251ffffffffff,3.0,0.0,0.0
82255ffffffffff,11.0,0.0,0.0
8225affffffffff,13.0,0.0,0.0
8225b7fffffffff,5.0,0.0,0.0
822c07fffffffff,215.0,0.0,0.0
822c0ffffffffff,88.0,0.0,0.0
822c17fffffffff,12.0,0.0,0.0
822c1ffffffffff,17.0,0.0,0.0
822c27fffffffff,54.0,0.0,0.0
822c2ffffffffff,283.0,0.0,0.0
822c37fffffffff,7.0,0.0,0.0
822c77fffffffff,27.0,0.0,0.0
822c87fffffffff,2.0,0.0,0.0
822c8ffffffffff,2.0,2.0,0.0
822caffffffffff,15.0,0.0,0.0
822cc7fffffffff,12.0,1.0,0.0
822ccffffffffff,33.0,2.0,0.0
822cd7fffffffff,8.0,0.0,0.0
822cf7fffffffff,24.0,0.0,0.0
822d07fffffffff,7.0,0.0,0.0
822d17fffffffff,25.0,0.0,0.0
822d1ffffffffff,7.0,0.0,0.0
822d37fffffffff,61.0,0.0,0.0
822d57fffffffff,20.0,0.0,0.0
82390ffffffffff,64.0,0.0,0.0
823927fffffffff,3.0,0.0,0.0
82392ffffffffff,49.0,0.0,0.0
823947fffffffff,10.0,0.0,0.0
823967fffffffff,804.0,3.0,0.0
82396ffffffffff,10.0,6.0,0.0
823977fffffffff,2160.0,39.0,0.0
823c07fffffffff,74.0,0.0,0.0
823c0ffffffffff,87.0,2.0,0.0
823c37fffffffff,154.0,0.0,0.0
823c47fffffffff,26.0,2.0,0.0
823c4ffffffffff,1.0,0.0,0.0
823c57fffffffff,61.0,0.0,0.0
823c5ffffffffff,1.0,0.0,0.0
823c67fffffffff,8.0,0.0,0.0
823c6ffffffffff,227.0,0.0,0.0
823c77fffffffff,8.0,1.0,0.0
823ce7fffffffff,2.0,0.0,0.0
823d07fffffffff,537.0,0.0,0.0
823d17fffffffff,671.0,0.0,0.0
823d1ffffffffff,419.0,0.0,0.0
823d27fffffffff,137.0,0.0,0.0
823d37fffffffff,142.0,0.0,0.0
823d4ffffffffff,11.0,0.0,0.0
823d5ffffffffff,2.0,0.0,0.0
823daffffffffff,147.0,0.0,0.0
823f67fffffffff,17.0,0.0,0.0
823f77fffffffff,35.0,0.0,0.0
82405ffffffffff,1.0,0.0,0.0
8240c7fffffffff,44.0,1.0,0.0
8240cffffffffff,3.0,0.0,0.0
8240dffffffffff,23.0,1.0,0.0
8240effffffffff,93.0,2.0,0.0
824367fffffffff,17.0,0.0,0.0
825287fffffffff,68.0,0.0,24.0
82528ffffffffff,4.0,0.0,2.0
82529ffffffffff,198.0,0.0,56.0
826a6ffffffffff,4.0,0.0,0.0
827a5ffffffffff,5.0,0.0,5.0
827a67fffffffff,3.0,0.0,0.0
827ac7fffffffff,1.0,0.0,0.0
827acffffffffff,72.0,0.0,22.0
827adffffffffff,18.0,0.0,6.0
829697fffffffff,5.0,0.0,2.0
82bcc7fffffffff,21.0,0.0,9.0
82bce7fffffffff,354.0,0.0,133.0
