cell_id,Cinnyris notatus,Cinnyris notatus moebii,Cinnyris notatus voeltzkowi,Cinnyris notatus notatus
82a207fffffffff,5.0,0.0,0.0,0.0
82a217fffffffff,301.0,0.0,0.0,0.0
82a227fffffffff,173.0,0.0,0.0,0.0
82a237fffffffff,430.0,0.0,0.0,0.0
82a2a7fffffffff,21.0,0.0,0.0,0.0
82a2affffffffff,14.0,0.0,0.0,0.0
82a30ffffffffff,66.0,0.0,0.0,0.0
82a31ffffffffff,127.0,0.0,0.0,0.0
82a337fffffffff,50.0,0.0,0.0,0.0
82a357fffffffff,34.0,0.0,0.0,0.0
82a377fffffffff,10.0,0.0,0.0,0.0
82a38ffffffffff,60.0,0.0,0.0,0.0
82a39ffffffffff,62.0,0.0,0.0,0.0
82a3affffffffff,8.0,0.0,0.0,0.0
