cell_id,Tachyeres pteneres,Tachyeres pteneres [undescribed form]
84ce121ffffffff,1.0,0.0
84ce123ffffffff,7.0,0.0
84ce127ffffffff,42.0,0.0
84ce129ffffffff,1.0,0.0
84ce135ffffffff,1.0,0.0
84ce145ffffffff,1.0,0.0
84ce147ffffffff,2.0,0.0
84ce167ffffffff,2.0,0.0
84ce169ffffffff,2.0,0.0
84ce32dffffffff,2.0,0.0
84ce85bffffffff,14.0,0.0
84cea11ffffffff,26.0,0.0
84cea13ffffffff,16.0,0.0
84cea17ffffffff,7.0,0.0
84cea85ffffffff,118.0,0.0
84cea89ffffffff,292.0,27.0
84cea8dffffffff,594.0,0.0
84ceaa9ffffffff,5.0,0.0
84ceac1ffffffff,195.0,12.0
84ceac5ffffffff,258.0,22.0
84ceac7ffffffff,49.0,3.0
84ceacdffffffff,92.0,1.0
84ceae1ffffffff,10.0,0.0
84ceae3ffffffff,483.0,17.0
84ceae5ffffffff,38.0,0.0
84ceae7ffffffff,273.0,0.0
84ceae9ffffffff,6.0,0.0
84ceaebffffffff,47.0,0.0
84ceaedffffffff,2.0,0.0
84cf103ffffffff,1.0,0.0
84cf105ffffffff,12.0,0.0
84cf109ffffffff,2.0,0.0
84cf10dffffffff,5.0,0.0
84cf129ffffffff,33.0,0.0
84cf131ffffffff,10.0,0.0
84cf13bffffffff,1.0,0.0
84cf163ffffffff,19.0,0.0
84cf169ffffffff,6.0,0.0
84cf16bffffffff,5.0,0.0
84cf16dffffffff,17.0,0.0
84cf1e5ffffffff,2.0,0.0
84cf325ffffffff,51.0,0.0
84cf32dffffffff,8.0,0.0
84cf899ffffffff,4.0,0.0
84cf89bffffffff,1.0,0.0
84cf8b3ffffffff,4.0,0.0
84cf8d3ffffffff,3.0,0.0
84cfa49ffffffff,6.0,0.0
84cfa91ffffffff,3.0,0.0
84cfa95ffffffff,1.0,0.0
84cfa99ffffffff,1.0,0.0
84df401ffffffff,1.0,0.0
84df409ffffffff,11.0,0.0
84df41bffffffff,4.0,0.0
84df423ffffffff,11.0,0.0
84df427ffffffff,7.0,0.0
84df42bffffffff,3.0,0.0
84df445ffffffff,2.0,0.0
84df44dffffffff,9.0,0.0
84df451ffffffff,561.0,0.0
84df455ffffffff,121.0,0.0
84df457ffffffff,4.0,0.0
84df459ffffffff,474.0,0.0
84df45bffffffff,1.0,0.0
84df45dffffffff,3.0,0.0
84df681ffffffff,15.0,0.0
84df683ffffffff,79.0,0.0
84df687ffffffff,36.0,0.0
84df689ffffffff,133.0,0.0
84df68bffffffff,365.0,0.0
84df68dffffffff,11.0,0.0
84df691ffffffff,4.0,0.0
84df695ffffffff,5.0,0.0
84df697ffffffff,10.0,0.0
84df699ffffffff,10.0,0.0
84df69dffffffff,140.0,0.0
84df6bbffffffff,2.0,0.0
84df6c1ffffffff,3.0,0.0
84df6c3ffffffff,11.0,0.0
84df6c5ffffffff,3.0,0.0
84df6c7ffffffff,4.0,0.0
84df6c9ffffffff,4.0,0.0
84df6cbffffffff,7.0,0.0
84df6cdffffffff,4.0,0.0
84df6d3ffffffff,2.0,0.0
84df6d7ffffffff,81.0,0.0
84df6d9ffffffff,9.0,0.0
84df6ddffffffff,24.0,0.0
84df6e1ffffffff,6.0,0.0
84df6e5ffffffff,9.0,0.0
84df6e7ffffffff,8.0,0.0
84df6e9ffffffff,2.0,0.0
84df6ebffffffff,16.0,0.0
84df6edffffffff,2.0,0.0
