cell_id,Athene cunicularia,Athene cunicularia hypugaea/rostrata,Athene cunicularia floridana,Athene cunicularia [guadeloupensis Group],Athene cunicularia [tolimae Group],Athene cunicularia nanodes/juninensis,Athene cunicularia grallaria,Athene cunicularia [cunicularia Group]
822607fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822617fffffffff,661.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82261ffffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822627fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822637fffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82268ffffffffff,2728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822697fffffffff,1901.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0
82269ffffffffff,105.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8226a7fffffffff,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,3279.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8226b7fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226c7fffffffff,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226dffffffffff,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,1204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822787fffffffff,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82278ffffffffff,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822797fffffffff,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82279ffffffffff,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8227affffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822807fffffffff,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822817fffffffff,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822837fffffffff,11088.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
822887fffffffff,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82288ffffffffff,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822897fffffffff,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82289ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228a7fffffffff,91.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8228affffffffff,694.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8228b7fffffffff,413.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822917fffffffff,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82291ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822987fffffffff,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82298ffffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822997fffffffff,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82299ffffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8229a7fffffffff,4380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8229affffffffff,1554.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8229b7fffffffff,866.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
