cell_id,Turdus falcklandii,Turdus falcklandii magellanicus/pembertoni,Turdus falcklandii falcklandii
83b222fffffffff,2.0,0.0,0.0
83b226fffffffff,3.0,0.0,0.0
83b299fffffffff,2.0,0.0,0.0
83b2c0fffffffff,75.0,74.0,0.0
83b2c1fffffffff,5.0,0.0,0.0
83b2c3fffffffff,8.0,6.0,0.0
83b2c4fffffffff,86.0,85.0,0.0
83b2c5fffffffff,23.0,10.0,0.0
83b2c8fffffffff,6.0,0.0,0.0
83b2cefffffffff,1.0,1.0,0.0
83b2e2fffffffff,6.0,6.0,0.0
83b2e3fffffffff,8.0,4.0,0.0
83b2e4fffffffff,1.0,0.0,0.0
83b2eefffffffff,5.0,0.0,0.0
83c321fffffffff,3.0,3.0,0.0
83ce81fffffffff,4.0,2.0,0.0
83ce8cfffffffff,5.0,0.0,0.0
83cea0fffffffff,2.0,0.0,0.0
83cea1fffffffff,1.0,1.0,0.0
83cea3fffffffff,1.0,1.0,0.0
83ceaafffffffff,8.0,0.0,0.0
83ceacfffffffff,2.0,2.0,0.0
83cf12fffffffff,2.0,0.0,0.0
83cf16fffffffff,5.0,2.0,0.0
83cf32fffffffff,8.0,3.0,0.0
83cf88fffffffff,4.0,0.0,0.0
83cf8efffffffff,2.0,0.0,0.0
83de62fffffffff,5.0,0.0,5.0
83de66fffffffff,2.0,0.0,2.0
83de70fffffffff,5.0,0.0,5.0
83df45fffffffff,4.0,4.0,0.0
83df68fffffffff,3.0,2.0,0.0
83df69fffffffff,8.0,4.0,0.0
83df6bfffffffff,2.0,2.0,0.0
83df6dfffffffff,4.0,4.0,0.0
