cell_id,Alauda arvensis,Alauda arvensis [arvensis Group],Alauda arvensis [pekinensis Group],Alauda arvensis japonica/intermedia
820127fffffffff,2.0,0.0,0.0,0.0
820137fffffffff,6.0,1.0,0.0,0.0
820807fffffffff,37.0,0.0,0.0,0.0
820817fffffffff,10.0,2.0,0.0,0.0
82081ffffffffff,4.0,0.0,0.0,0.0
820837fffffffff,4.0,0.0,0.0,0.0
820887fffffffff,472.0,199.0,0.0,0.0
82088ffffffffff,143.0,42.0,0.0,0.0
820897fffffffff,151.0,75.0,0.0,0.0
82089ffffffffff,1352.0,87.0,0.0,0.0
8208a7fffffffff,77.0,19.0,0.0,0.0
8208b7fffffffff,179.0,21.0,0.0,0.0
8208c7fffffffff,10.0,3.0,0.0,0.0
8208cffffffffff,4.0,0.0,0.0,0.0
8208d7fffffffff,135.0,14.0,0.0,0.0
8208dffffffffff,5.0,3.0,0.0,0.0
8208effffffffff,4.0,0.0,0.0,0.0
8208f7fffffffff,13.0,0.0,0.0,0.0
820987fffffffff,265.0,3.0,0.0,0.0
82098ffffffffff,2.0,2.0,0.0,0.0
820997fffffffff,434.0,11.0,0.0,0.0
82099ffffffffff,337.0,44.0,0.0,0.0
8209a7fffffffff,623.0,69.0,0.0,0.0
8209affffffffff,31.0,3.0,0.0,0.0
820b97fffffffff,10.0,0.0,0.0,0.0
820bb7fffffffff,10.0,0.0,2.0,0.0
821017fffffffff,2.0,0.0,0.0,0.0
821027fffffffff,1.0,0.0,0.0,0.0
821097fffffffff,1.0,0.0,0.0,0.0
82109ffffffffff,1.0,0.0,0.0,0.0
8210a7fffffffff,13.0,0.0,0.0,0.0
8210c7fffffffff,19.0,2.0,0.0,0.0
8210d7fffffffff,1.0,0.0,0.0,0.0
8210dffffffffff,4.0,0.0,0.0,0.0
8210f7fffffffff,7.0,0.0,0.0,0.0
821107fffffffff,119.0,0.0,0.0,0.0
821117fffffffff,30.0,0.0,0.0,0.0
821127fffffffff,92.0,4.0,0.0,0.0
82112ffffffffff,22.0,6.0,0.0,0.0
821137fffffffff,105.0,0.0,0.0,0.0
821157fffffffff,5.0,0.0,0.0,0.0
821187fffffffff,81.0,22.0,0.0,0.0
82118ffffffffff,221.0,34.0,0.0,0.0
821197fffffffff,11.0,0.0,0.0,0.0
82119ffffffffff,5.0,0.0,0.0,0.0
8211affffffffff,314.0,101.0,0.0,0.0
8211b7fffffffff,14.0,0.0,0.0,0.0
821457fffffffff,2.0,0.0,0.0,0.0
821487fffffffff,2.0,0.0,0.0,0.0
8214affffffffff,105.0,0.0,0.0,0.0
8214cffffffffff,5.0,0.0,0.0,0.0
82154ffffffffff,9.0,0.0,0.0,0.0
82155ffffffffff,7.0,0.0,0.0,0.0
821587fffffffff,2.0,0.0,0.0,0.0
821597fffffffff,74.0,0.0,0.0,0.0
8215b7fffffffff,14.0,0.0,0.0,0.0
821607fffffffff,11.0,0.0,5.0,0.0
821617fffffffff,18.0,0.0,15.0,0.0
821637fffffffff,1.0,0.0,1.0,0.0
821657fffffffff,33.0,0.0,0.0,0.0
8216affffffffff,2.0,0.0,0.0,0.0
