cell_id,Artamella viridis,Artamella viridis viridis,Artamella viridis annae
84a2143ffffffff,147.0,0.0,0.0
84a2227ffffffff,55.0,0.0,0.0
84a231bffffffff,144.0,0.0,0.0
84a2a47ffffffff,2.0,0.0,0.0
84a2a49ffffffff,2.0,0.0,0.0
84a2ae9ffffffff,10.0,0.0,0.0
84a2aedffffffff,20.0,0.0,0.0
84a3083ffffffff,1.0,0.0,0.0
84a308bffffffff,2.0,0.0,0.0
84a3093ffffffff,6.0,0.0,0.0
84a30c7ffffffff,2.0,0.0,0.0
84a30d5ffffffff,5.0,0.0,0.0
84a30e7ffffffff,4.0,0.0,0.0
84a318bffffffff,5.0,0.0,0.0
84a3191ffffffff,6.0,0.0,0.0
84a3199ffffffff,10.0,0.0,0.0
84a319dffffffff,163.0,0.0,0.0
84a31bbffffffff,2.0,0.0,0.0
84a31c7ffffffff,9.0,0.0,0.0
84a31d5ffffffff,16.0,0.0,0.0
84a3561ffffffff,5.0,0.0,0.0
84a3565ffffffff,10.0,0.0,0.0
84a3567ffffffff,60.0,0.0,0.0
84a356dffffffff,4.0,0.0,0.0
84a3761ffffffff,2.0,0.0,0.0
84a38b3ffffffff,17.0,0.0,0.0
84a38b7ffffffff,7.0,0.0,0.0
84a38c7ffffffff,3.0,0.0,0.0
84a38cbffffffff,3.0,0.0,0.0
84a3997ffffffff,3.0,0.0,0.0
84a399bffffffff,106.0,0.0,0.0
84a39dbffffffff,4.0,0.0,0.0
84a3ab7ffffffff,18.0,0.0,0.0
84a3addffffffff,2.0,0.0,0.0
