cell_id,Ceyx cyanopectus,Ceyx cyanopectus cyanopectus,Ceyx cyanopectus nigrirostris
836862fffffffff,10.0,0.0,3.0
836865fffffffff,17.0,5.0,0.0
836866fffffffff,3.0,0.0,0.0
836875fffffffff,3.0,0.0,3.0
836941fffffffff,12.0,0.0,0.0
836943fffffffff,34.0,8.0,0.0
836945fffffffff,8.0,3.0,0.0
83694afffffffff,8.0,0.0,0.0
83694bfffffffff,7.0,2.0,0.0
83694cfffffffff,1.0,1.0,0.0
83694efffffffff,204.0,27.0,0.0
836968fffffffff,4.0,0.0,0.0
836969fffffffff,1.0,1.0,0.0
83696afffffffff,48.0,13.0,0.0
83696cfffffffff,2.0,0.0,0.0
83696dfffffffff,16.0,12.0,0.0
83696efffffffff,3.0,1.0,0.0
