cell_id,Amazona oratrix,Amazona oratrix tresmariae,Amazona oratrix [oratrix Group]
831faafffffffff,26.0,0.0,0.0
8329a0fffffffff,45.0,0.0,0.0
8329a1fffffffff,32.0,0.0,0.0
8329a4fffffffff,5.0,0.0,0.0
8329a5fffffffff,1.0,0.0,0.0
832a10fffffffff,2.0,0.0,0.0
834413fffffffff,2.0,0.0,0.0
83441efffffffff,1.0,0.0,0.0
8344a1fffffffff,2.0,0.0,0.0
8344aefffffffff,1.0,0.0,0.0
834509fffffffff,46.0,0.0,0.0
83450efffffffff,2.0,0.0,0.0
834525fffffffff,7.0,0.0,0.0
834880fffffffff,9.0,0.0,0.0
8348a0fffffffff,8.0,0.0,0.0
8348b1fffffffff,1.0,0.0,0.0
8348b2fffffffff,154.0,0.0,2.0
8348b3fffffffff,59.0,0.0,2.0
834995fffffffff,21.0,0.0,0.0
8349b3fffffffff,5.0,0.0,0.0
834cc5fffffffff,1.0,0.0,0.0
834ceefffffffff,4.0,0.0,0.0
