cell_id,Anas georgica,Anas georgica georgica,Anas georgica spinicauda/niceforoi
84ce8c7ffffffff,3.0,0.0,0.0
84cea05ffffffff,1.0,0.0,0.0
84cea07ffffffff,2.0,0.0,0.0
84cea35ffffffff,1.0,0.0,1.0
84cea37ffffffff,1.0,0.0,1.0
84cea85ffffffff,2.0,0.0,0.0
84ceac1ffffffff,2.0,0.0,2.0
84cf129ffffffff,4.0,0.0,0.0
84cf163ffffffff,2.0,0.0,0.0
84cf8c5ffffffff,2.0,0.0,2.0
84cf8c7ffffffff,1.0,0.0,1.0
84cfa45ffffffff,2.0,0.0,2.0
84cfa47ffffffff,4.0,0.0,4.0
84cfaadffffffff,2.0,0.0,0.0
84de667ffffffff,1.0,0.0,0.0
84de719ffffffff,2.0,0.0,0.0
84de82dffffffff,2.0,2.0,0.0
84de953ffffffff,8.0,8.0,0.0
84de957ffffffff,2.0,2.0,0.0
84de95dffffffff,6.0,6.0,0.0
84df683ffffffff,1.0,0.0,0.0
84df699ffffffff,5.0,0.0,0.0
84df69dffffffff,3.0,0.0,3.0
84df6b7ffffffff,2.0,0.0,2.0
84df6d7ffffffff,2.0,0.0,0.0
