cell_id,Picumnus cirratus,Picumnus cirratus macconnelli/confusus,Picumnus cirratus [cirratus Group]
845f299ffffffff,5.0,0.0,0.0
845f2d3ffffffff,6.0,0.0,0.0
845f2dbffffffff,10.0,0.0,0.0
848a9e1ffffffff,1.0,1.0,0.0
84a81edffffffff,1.0,0.0,0.0
84a8917ffffffff,1.0,0.0,0.0
84a8957ffffffff,2.0,0.0,2.0
84a9461ffffffff,3.0,0.0,0.0
84a9611ffffffff,8.0,0.0,0.0
84a9613ffffffff,32.0,0.0,0.0
84a9617ffffffff,12.0,0.0,0.0
84a9619ffffffff,17.0,0.0,0.0
84a9623ffffffff,1.0,0.0,1.0
84a9645ffffffff,15.0,0.0,0.0
84a9653ffffffff,16.0,0.0,0.0
84a96c5ffffffff,1.0,0.0,0.0
84a96e9ffffffff,7.0,0.0,0.0
84b2413ffffffff,1.0,0.0,1.0
84b248bffffffff,4.0,0.0,0.0
84b2493ffffffff,3.0,0.0,0.0
84b2499ffffffff,14.0,0.0,0.0
84b249bffffffff,22.0,0.0,0.0
84b249dffffffff,7.0,0.0,0.0
84b24d1ffffffff,31.0,0.0,0.0
84b24d3ffffffff,162.0,0.0,0.0
84b24d5ffffffff,3.0,0.0,0.0
84b24d7ffffffff,6.0,0.0,0.0
84b24d9ffffffff,11.0,0.0,0.0
84b24dbffffffff,111.0,0.0,0.0
84b25e3ffffffff,3.0,0.0,0.0
84b2613ffffffff,4.0,0.0,0.0
84b2687ffffffff,9.0,0.0,0.0
84b268bffffffff,2.0,0.0,0.0
84b268dffffffff,5.0,0.0,0.0
84b2691ffffffff,8.0,0.0,0.0
84b2699ffffffff,1.0,0.0,0.0
84b269bffffffff,8.0,0.0,0.0
84b26b1ffffffff,10.0,0.0,0.0
84b26b3ffffffff,4.0,0.0,0.0
84b26b9ffffffff,2.0,0.0,0.0
84b26bbffffffff,4.0,0.0,0.0
84b26bdffffffff,37.0,0.0,0.0
84b26c5ffffffff,1.0,0.0,0.0
84b26c7ffffffff,2.0,0.0,0.0
84b26d1ffffffff,4.0,0.0,0.0
84b26d7ffffffff,6.0,0.0,0.0
84b26ddffffffff,2.0,0.0,0.0
84b2701ffffffff,1.0,0.0,0.0
84b2709ffffffff,2.0,2.0,0.0
84b2749ffffffff,2.0,0.0,2.0
84b35e3ffffffff,2.0,0.0,2.0
84c2c17ffffffff,12.0,0.0,0.0
84c2c19ffffffff,9.0,0.0,0.0
84c2c3bffffffff,7.0,0.0,0.0
84c2c91ffffffff,8.0,0.0,0.0
84c2c95ffffffff,1.0,0.0,0.0
84c2c97ffffffff,6.0,0.0,0.0
84c2c99ffffffff,10.0,0.0,0.0
84c2ca5ffffffff,1.0,0.0,0.0
84c2cadffffffff,6.0,0.0,0.0
84c2cbbffffffff,2.0,0.0,0.0
84c2ccbffffffff,1.0,0.0,0.0
84c2cd3ffffffff,87.0,0.0,0.0
84c2ce1ffffffff,2.0,0.0,0.0
84c2d93ffffffff,48.0,0.0,1.0
84c2e2dffffffff,1.0,0.0,0.0
84c2e31ffffffff,22.0,0.0,0.0
84c2e37ffffffff,3.0,0.0,0.0
84c2eb9ffffffff,4.0,0.0,0.0
84c2ebbffffffff,2.0,0.0,0.0
